SampleID,Weight,Salinity
Junk6,60.241,35
1_H_Sq3_20220712,59.942,35.18
2_H_Sq3_20220712,60.118,35.18
1_M_Sq2_20220628,60.224,35.18
2_M_Sq2_20220628,60.074,35.18
1_C_Sq1_20220702,60.26,35.02
2_C_Sq1_20220702,59.865,35.02
1_M_Sq1_20220712,60.428,35.08
2_M_Sq1_20220712,60.154,35.08
