SampleID,Weight,Salinity
Junk5,59.657,35
1_M_Sq1_20220628,60.159,34.77
2_M_Sq1_20220628,60.055,34.77
1_C_Sq1_20220705,59.553,34.55
2_C_Sq1_20220705,59.992,34.55
1_H_Sq3_20220702,59.625,34.78
2_H_Sq3_20220702,59.713,34.78
1_H_Sq3_20220710,59.923,34.56
2_H_Sq3_20220710,60.436,34.56
