SampleID,Weight,Salinity
Junk2,60.566,35
1_M_Sq3_20220630,59.724,34.24
2_M_Sq3_20220630,60.347,34.24
1_H_Sq3_20220708,59.855,34.23
2_H_Sq3_20220708,60.257,34.23
1_M_Sq2_20220710,60.298,34.24
2_M_Sq2_20220710,59.691,34.24
1_H_Sq3_20220705,59.597,34.43
2_H_Sq3_20220705,60.212,34.43
