SampleID,TA,Mass,Salinity,Date,Type
1_C_Sq1_20220710,2177.165627,59.834,35.22,20230523,Sample
2_C_Sq1_20220710,2184.415978,60.24,35.22,20230523,Sample
Junk3,2064.094281,60.24,35,20230516,Junk
1_C_Sq1_20220706,2561.306491,50.73,35.2,20230516,Sample
2_C_Sq1_20220706,2180.707518,59.891,35.2,20230516,Sample
1_C_Sq1_20220701,2185.324885,60.424,35.36,20230516,Sample
2_C_Sq1_20220701,2195.844193,60.526,35.36,20230516,Sample
1_C_Sq1_20220630,2185.019065,60.42,35.28,20230516,Sample
2_C_Sq1_20220630,2186.503502,59.988,35.28,20230516,Sample
1_H_Sq2_20220712,2224.440449,59.454,35.34,20230516,Sample
2_H_Sq2_20220712,2229.623259,59.647,35.34,20230516,Sample
JUNK1,2069.9119,59.804,35,20230525,Junk
CRM1,2231.068366,60.285,33.532,20230525,CRM
Junk2,2060.910827,60.442,35,20230525,Junk
1_C_Sq2_20220702,2186.154135,59.802,34.47,20230525,Sample
2_C_Sq2_20220702,2182.708244,59.983,34.47,20230525,Sample
1_M_Sq3_20220705,2179.175499,60.002,34.48,20230525,Sample
2_M_Sq3_20220705,2184.689381,60.438,34.48,20230525,Sample
1_C_Sq3_20220630,2175.770097,60.145,34.6,20230525,Sample
2_C_Sq3_20220630,2183.085039,60.454,34.6,20230525,Sample
1_C_Sq3_20220628,2172.023421,59.81,34.81,20230525,Sample
2_C_Sq3_20220628,2173.481664,59.78,34.81,20230525,Sample
Junk3,2057.013151,59.768,35,20230525,Junk
1_C_Sq3_20220716,2173.73897,60.128,34.77,20230525,Sample
2_C_Sq3_20220716,2175.931175,59.915,34.77,20230525,Sample
1_C_Sq2_20220708,2176.20475,59.966,34.39,20230525,Sample
2_C_Sq2_20220708,2176.848797,60.458,34.39,20230525,Sample
1_H_Sq2_20220630,2182.121201,60.263,34.9,20230525,Sample
2_H_Sq2_20220630,2182.589766,59.911,34.9,20230525,Sample
1_C_Sq3_20220705,2172.007376,60.066,34.69,20230525,Sample
2_C_Sq3_20220705,2178.634472,60.435,34.69,20230525,Sample
Junk4,2056.15292,60.196,35,20230525,Junk
1_H_Sq2_20220629,2173.864012,59.975,35.43,20230525,Sample
2_H_Sq2_20220629,2185.203951,60.344,35.43,20230525,Sample
1_M_Sq1_20220706,2180.962043,59.814,35.26,20230525,Sample
2_M_Sq1_20220706,2178.607727,59.871,35.26,20230525,Sample
1_H_Sq3_20220629,2168.718036,60.356,35.62,20230525,Sample
2_H_Sq3_20220629,2175.630305,60.509,35.62,20230525,Sample
1_M_Sq3_20220708,2189.031306,59.979,35.26,20230525,Sample
2_M_Sq3_20220708,1911.668715,69.458,35.26,20230525,Sample
Junk5,2058.920313,59.972,35,20230525,Junk
1_M_Sq3_20220712,2178.20983,59.975,35.15,20230525,Sample
2_M_Sq3_20220712,2181.806572,59.83,35.15,20230525,Sample
1_C_Sq3_20220701,2179.688877,60.106,35.18,20230525,Sample
2_C_Sq3_20220701,2186.740649,59.866,35.18,20230525,Sample
1_M_Sq3_20220702,2182.930674,60.387,35.23,20230525,Sample
