SampleID,Weight,Salinity
Junk3,59.525,35
1_High_Sq2_20220708,59.986,35.45
1_Mid_Sq1_20220701,59.752,34.22
1_Mid_Sq2_20220714,59.685,34.32
1_Control_Sq2_20220716,60.043,35.11
2_High_Sq2_20220708,60.216,35.45
2_Mid_Sq1_20220701,60.309,34.22
2_Mid_Sq2_20220714,60.234,34.32
2_Control_Sq2_20220716,59.936,35.11
