Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 13:40:09,3.78,103.44,86.67,92.67,97.83,103.26,101.45,96.44,99.96,104.43,84.33,56.72,82.51,90.11,112.67,79.99,87.04,84.26,87.19,118.41,93.42,101.33,92.27,92.27,93.64,,30.5,965,37,29.53,965D6-(E1);
13.07.22 13:40:24,4.03,90.23,121.96,91.3,75.18,89.21,71.54,93.59,102.29,98.86,76.14,48.78,100.64,87.38,118.3,82.92,101.48,93.56,67.67,100.77,109.59,73.3,92.53,101.18,73.08,,30.5,965,37,29.58,965D6-(E1);
13.07.22 13:40:39,4.28,117.87,101.99,83.59,106.09,114.27,96.03,104.57,104.63,105.88,94.51,78.59,111.72,84.07,103.7,103.99,101.76,101.45,93.07,122.83,106.58,97.92,94.11,92.92,88.98,,30.5,965,37,29.63,965D6-(E1);
13.07.22 13:40:54,4.53,96.07,96.79,84.66,91.89,93.46,91.36,117.48,99.69,117.18,70.4,60.61,96.33,104.19,96.79,75.71,102.89,93.3,75.11,86.69,111.39,91.1,117.05,96.04,107.9,,30.5,965,37,29.68,965D6-(E1);
13.07.22 13:41:09,4.78,78.37,79.87,87.22,99.7,107.45,86.65,104.42,91.24,92.44,73.13,58.08,118.73,74.86,94.82,59.6,88.52,71.9,96.97,93.02,98.39,87.55,102.54,95.25,85.96,,30.5,965,37,29.74,965D6-(E1);
13.07.22 13:41:24,5.03,114.92,87.81,100.49,89.68,90.8,76.73,103.83,106.16,126.12,87.07,71.66,108.21,92.86,96.63,120.03,126.32,99.06,106.5,103.93,120.12,94.55,97.83,103.86,102.71,,30.5,965,37,29.79,965D6-(E1);
13.07.22 13:41:39,5.28,94.29,97.05,102.76,110.8,97.37,99.32,131.43,110.94,102.19,77.28,74.07,107.66,105.77,113.79,110.76,117.86,112.76,121.77,135.85,99.72,117.69,109.7,101.45,111.99,,30.5,965,37,29.83,965D6-(E1);
13.07.22 13:41:54,5.53,88.75,88.84,84.12,81.39,83.73,70.83,91.47,99.69,75.65,76.9,67.37,96.87,90.48,98.46,88.54,87.3,74.18,86.92,129.03,76.08,85.47,82.62,89.45,82.97,,30.5,965,37,29.9,965D6-(E1);
13.07.22 13:42:09,5.78,109.7,101.59,108.23,107.61,105.76,86.14,119.17,103.53,108.31,96.27,61.87,88.55,104.32,106.04,86.61,111.52,103.46,83.55,108.58,115.02,94.42,128.89,88.43,99.02,,30.5,965,37,29.94,965D6-(E1);
13.07.22 13:42:24,6.03,125.05,101.19,81.19,102.81,106.46,61.35,100.33,111.36,131.97,96.14,87.6,106.13,94,129.51,96.64,123.42,92.91,108.24,125.76,125.9,92.82,95.83,103.32,102.97,,30.5,965,37,30,965D6-(E1);
