Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 12:16:08,3.53,90.91,87.25,99.61,96.27,82.09,99.11,117.82,96.9,113.45,101.02,85.5,97.32,78.14,108.53,87.49,102.46,78.79,101.76,79.99,86.94,103.51,87.29,117.31,83.45,,28.5,965,37,29.97,965D6-(E1);
13.07.22 12:16:23,3.78,105.58,105.91,102.76,99.91,104.64,82.03,119.84,96.62,88.95,94.28,85.5,99.91,87.68,117.9,86.89,77.52,67.5,75.47,108.95,96.18,96.76,83.55,98.58,88.54,,28.5,965,37,30.01,965D6-(E1);
13.07.22 12:16:38,4.03,134.57,111.91,121.16,108.45,122.75,118.75,125.5,128.36,134.57,124.92,87.68,91.82,100.05,148.91,96.89,110.72,90.44,103.49,111.63,97.64,89.76,89.51,112.93,104.05,,28.5,965,37,30.04,965D6-(E1);
13.07.22 12:16:53,4.28,94.75,109.38,102.19,97.21,104.64,76.81,114.89,97.85,129.13,93.06,83.34,96.51,97.33,107.89,80.2,93.73,111.96,80.79,102.21,87.46,82.67,81.12,125.1,86.35,,28.5,965,37,30.1,965D6-(E1);
13.07.22 12:17:08,4.53,110.78,121.21,129.06,105.39,124.1,104.1,118.59,116.62,126.35,99.91,97.1,118.26,113.03,130.42,104.17,114.71,97.65,93.81,121.34,112.96,91.9,112.55,121.47,109.3,,28.5,965,37,30.15,965D6-(E1);
13.07.22 12:17:23,4.78,115.33,98.43,96.49,84.09,105.21,102.2,112.29,119.4,108.97,88.36,73.02,102.66,81.28,129.57,90.06,104.9,121.48,79.72,107.91,93.55,116.49,105.54,140.29,85.62,,28.5,965,37,30.18,965D6-(E1);
13.07.22 12:17:38,5.03,119.35,87.12,106.68,89.39,110.75,103.28,160.52,107.29,111.95,111.35,79.44,99.64,103.73,135.72,94.38,108.67,88.5,81.2,89.43,96.98,101.01,99.91,97.25,87.69,,28.5,965,37,30.22,965D6-(E1);
13.07.22 12:17:53,5.28,116.51,119.32,125.79,117.4,134.33,113.36,154.39,113.43,136.35,112.36,94.85,142.25,88.43,139.02,119.78,127.79,116.04,115.59,140.91,113.38,125.37,108.74,100.72,113.58,,28.5,965,37,30.28,965D6-(E1);
13.07.22 12:18:08,5.53,87.92,83.03,103.92,86.79,78.6,98.18,102.09,81.91,91.61,95.64,37.31,81.64,79.34,125.86,69.01,93.45,90.7,48.42,84.33,78.13,72.48,81.25,141.22,76.82,,28.5,965,37,30.32,965D6-(E1);
13.07.22 12:18:23,5.78,77.85,98.57,96.49,89.92,104.08,92.39,125.03,81.01,104.88,91.44,69.27,111.77,91.83,129.91,99.67,110.72,92.65,81.2,113.88,93.81,76.9,93.86,147.64,92.74,,28.5,965,37,30.36,965D6-(E1);
13.07.22 12:18:38,6.03,118.3,112.33,100.33,111.12,109.32,112.8,121.87,109.99,111.95,94.69,82.2,105.57,91.57,144.63,97.65,101.32,117.32,91.02,132.17,113.94,85.28,99.1,135.54,91,,28.5,965,37,30.41,965D6-(E1);
13.07.22 12:18:53,6.28,93.51,123.69,95.37,92.94,90.66,105.6,112.13,92.44,96.98,82.95,67.35,96.38,94.5,104.73,84,90,83.92,94.8,96.18,100.99,90.96,72.61,89.93,88.3,,28.5,965,37,30.46,965D6-(E1);
13.07.22 12:19:08,6.53,139.18,106.74,116.01,101.95,108.89,105.87,132.24,119.99,133.34,97.15,78.94,113.92,84.95,140.41,92.64,108.96,117.61,86.07,113.88,112.68,126.57,83.42,120.17,89.77,,28.5,965,37,30.5,965D6-(E1);
13.07.22 12:19:23,6.78,106.29,110.08,119.18,100.18,108.89,111.96,128.05,118.22,135.99,94.01,106.31,126.84,88.43,151.24,99.8,121.79,140.94,103.2,130.9,134.72,121.78,99.91,131.77,94.99,,28.5,965,37,30.54,965D6-(E1);
13.07.22 12:19:38,7.03,120.85,104.13,122.7,98.96,113.92,108.07,135.01,113.14,132.63,85.71,73.02,99.77,94.5,132.63,77.15,109.84,112.24,93.39,126,104.92,107.02,94.93,124.37,98.14,,28.5,965,37,30.58,965D6-(E1);
13.07.22 12:19:53,7.28,133.16,111.48,121.47,112.39,133.87,111.96,134.52,134.8,137.95,125.37,85.25,116.95,97.45,159.27,101.59,125.16,115.05,80.93,140.75,115.64,100.04,131.49,167.29,115.34,,28.5,965,37,30.64,965D6-(E1);
13.07.22 12:20:08,7.53,105.15,111.48,113.31,95.47,91.19,94.87,114.89,102.53,113.28,91.3,90.27,100.18,106.66,116.76,102.1,100.75,110.7,94.51,109.99,95.52,87.11,74.59,74.5,87.81,,28.5,965,37,30.68,965D6-(E1);
13.07.22 12:20:23,7.78,168.2,131.13,116.31,121.9,107.33,138.93,145.31,114.44,106.84,114.54,96.84,128.64,114.4,147.66,115.69,127.32,123.23,109.04,117.66,113.1,137.17,94.39,113.07,111.17,,28.5,965,37,30.72,965D6-(E1);
13.07.22 12:20:38,8.03,124.95,118.46,126.87,109.29,140.62,89.15,141.62,106.17,119.33,94.41,110.88,94.63,104,128.72,117.05,128.56,151.51,111.85,139.44,112.26,132.82,102.78,102.2,114.12,,28.5,965,37,30.75,965D6-(E1);
13.07.22 12:20:53,8.28,124.49,98.97,128.75,133.11,117.72,88.5,134.52,129.73,121.2,119.39,75.11,121.48,137.83,170.7,118.27,119.81,140.01,87.71,129.47,111.42,112.14,98.96,164.93,107.85,,28.5,965,37,30.79,965D6-(E1);
13.07.22 12:21:08,8.53,121.76,105.91,128.44,75.01,117.86,114.63,129.98,111.85,122.06,94.55,115.25,93.82,101.49,139.37,88.47,111.01,85.44,99.9,136.19,93.94,91.49,108.46,92.13,94.86,,28.5,965,37,30.83,965D6-(E1);
13.07.22 12:21:23,8.78,113.12,105.91,119.94,105.39,104.36,101.93,110.01,108.99,107.82,89.83,78.57,108.94,98.88,141.11,105.47,109.25,95.27,75.34,109.69,77.39,140.63,75.21,142.3,94.36,,28.5,965,37,30.88,965D6-(E1);
13.07.22 12:21:38,9.03,132.53,130.98,138.95,115.38,105.07,105.6,172.41,112.42,128.61,101.02,92.75,99.36,106.8,141.99,65.87,132.33,133.9,96.63,120.73,113.1,103.65,92.27,109.3,97.51,,28.5,965,37,30.93,965D6-(E1);
13.07.22 12:21:53,9.28,132.53,102.08,102.48,110.84,102.13,89.66,110.31,104.48,114.11,93.46,64.26,101.42,82.74,129.74,84.12,98.2,133.9,55.23,106.88,92.9,75.38,86.12,117.31,83.93,,28.5,965,37,30.96,965D6-(E1);
13.07.22 12:22:08,9.53,130.03,131.13,103.05,114.24,91.06,99.38,148.88,121.02,124.97,94.14,91.31,112.06,89.81,152.51,97.02,121.94,118.46,88.54,148.39,119.5,143.02,88.2,76.71,93.99,,28.5,965,37,31,965D6-(E1);
13.07.22 12:22:23,9.78,117.71,96.69,109.61,101.54,120.37,100.05,120.46,97.31,107.98,89.43,75.84,103.21,105.99,132.63,95.51,106.92,125.56,66.52,109.84,95.39,62.77,87.16,77.2,98.4,,28.5,965,37,31.04,965D6-(E1);
13.07.22 12:22:38,10.03,121.61,118.89,117.67,108.45,117.72,135.27,151.11,119.84,145.35,106.92,95.78,114.93,94.63,159.45,116.77,98.77,111.12,121.97,144.54,105.74,108.15,92.01,108.06,109.84,,28.5,965,37,31.08,965D6-(E1);
13.07.22 12:22:53,10.28,124.04,103.03,97.77,85.63,121.71,95,125.03,97.03,127.39,82.82,69.39,112.49,85.08,123.85,87.86,93.87,105.87,85.52,125.07,96.05,78.68,91.35,110,91.62,,28.5,965,37,31.13,965D6-(E1);
13.07.22 12:23:08,10.53,111.8,139.69,133.65,124.11,107.75,138.78,177.95,121.76,112.78,100.88,96.7,120.75,133.66,171.47,130.87,116.95,112.24,125.83,149.23,96.85,87.91,107.07,130.87,105.75,,28.5,965,37,31.15,965D6-(E1);
13.07.22 12:23:23,10.78,138.7,128.13,117.06,118.26,117.72,115.19,141.45,107.29,115.12,95.1,77.7,126.39,104.26,146.05,103.91,106.78,133,60.57,108.95,112.4,107.02,110.29,94.22,103.02,,28.5,965,37,31.21,965D6-(E1);
13.07.22 12:23:38,11.03,125.72,109.66,101.18,111.68,126.97,102.34,147.52,113.57,123.08,91.98,117.11,108.37,95.14,131.44,104.69,105.19,98.05,92.83,130.42,103.42,98.67,93.06,99.25,99.54,,28.5,965,37,31.26,965D6-(E1);
13.07.22 12:23:53,11.28,152.43,125.02,129.38,112.53,148.01,111.68,152.48,144.9,142.62,113.38,85.12,129.1,108.81,141.46,110.33,123.31,130.15,107.71,109.1,115.22,133.75,123.86,138.75,104.83,,28.5,965,37,31.29,965D6-(E1);
13.07.22 12:24:08,11.53,127.1,115.45,127.34,84.6,92.27,89.79,157.18,109.28,108.97,97.97,75.84,106.41,111.52,127.88,92.89,116.65,105.46,83.08,106.29,75.79,128.54,106.23,111.53,99.8,,28.5,965,37,31.33,965D6-(E1);
13.07.22 12:24:23,11.78,110.34,102.62,103.92,92.94,96.74,91.35,137.64,100.6,95.08,72.68,70.72,99.77,91.7,127.54,69.35,79.37,108.21,84.71,103.37,70.31,78.04,94.66,96.46,98.52,,28.5,965,37,31.36,965D6-(E1);
13.07.22 12:24:38,12.03,128.79,109.1,106.38,92.94,104.5,101.53,127.41,97.17,123.26,88.09,87.81,116.23,83.11,126.53,95.01,107.5,92.78,102.77,105.85,87.33,102.54,74.71,83.3,94.61,,28.5,965,37,31.4,965D6-(E1);
13.07.22 12:24:53,12.28,113.41,129.78,117.82,114.53,118.6,103.83,150.25,114.73,138.31,122.66,91.05,112.63,123.07,162.42,105.08,123.77,149.43,101.47,150.24,113.66,103.93,107.49,163.92,116.02,,28.5,965,37,31.46,965D6-(E1);
13.07.22 12:25:08,12.53,147.62,120.63,124.86,105.81,119.48,113.78,170.21,90.43,126.18,94.28,79.32,105.71,122.65,140.76,123.52,108.09,119.61,73.24,120.42,91.59,86.06,102.78,97.38,104.96,,28.5,965,37,31.49,965D6-(E1);
13.07.22 12:25:23,12.78,124.04,100.86,99.04,92.55,118.89,95.93,133.22,102.39,97.14,73.95,66.52,103.35,87.43,119.71,110.86,97.5,118.18,73.64,103.22,94.6,115.32,76.46,100.72,87.08,,28.5,965,37,31.53,965D6-(E1);
13.07.22 12:25:38,13.03,125.26,130.23,138.3,118.12,138.88,131.94,187.98,130.5,145.71,107.2,71.08,133.98,109.08,154.69,122.55,120.87,136.48,105.23,111.63,105.47,110.57,96.13,106.41,136.81,,28.5,965,37,31.57,965D6-(E1);
13.07.22 12:25:53,13.28,86.18,102.9,91.74,83.7,91.46,103.42,119.06,101.98,91.3,61.68,66.64,95.57,76.46,124.86,90.3,94.7,99.65,75.34,111.93,84.27,89.1,84.19,100.45,78.82,,28.5,965,37,31.6,965D6-(E1);
13.07.22 12:26:08,13.53,86.98,91.01,86.1,88.22,101.71,108.62,127.57,82.43,108.64,85.05,60.51,116.52,84.34,121.36,82.8,97.5,101.53,76.53,103.37,89.26,82.8,84.32,99.51,78.7,,28.5,965,37,31.64,965D6-(E1);
13.07.22 12:26:23,13.78,119.5,115.31,93.55,103.46,116.54,127.33,145.31,123.4,116.29,88.89,65.57,91.03,88.68,135.38,75.76,103.03,110.84,71.81,121.96,103.02,109.14,125.93,118.3,99.29,,28.5,965,37,31.68,965D6-(E1);
13.07.22 12:26:38,14.03,160.73,138.14,116.76,127.08,139.67,112.8,173.88,114.87,131.76,113.96,94.32,128.64,136.18,150.7,145.61,124.08,145.31,84.84,158.46,120.07,110.42,116.99,156.32,101.08,,28.5,965,37,31.72,965D6-(E1);
13.07.22 12:26:53,14.28,127.56,135.99,101.76,103.32,116.98,113.64,135.83,115.16,82.47,85.71,76.46,109.5,110.43,135.72,98.91,111.16,110.84,51.2,113.42,108.77,97.44,89.51,99.92,73,,28.5,965,37,31.76,965D6-(E1);
13.07.22 12:27:08,14.53,133,125.61,109.02,102.77,121.56,116.89,145.65,108.85,126.7,73.06,65.92,102.52,85.7,120.04,84.84,101.75,111.82,72.59,110.14,92.37,105.61,77.46,96.99,98.78,,28.5,965,37,31.78,965D6-(E1);
13.07.22 12:27:23,14.78,115.18,98.97,100.04,94.14,127.12,123.66,157.88,104.48,97.94,60.59,75.11,94.36,91.07,112.06,92.64,104.04,97.38,68.57,123.04,99.91,103.51,94.39,105.73,88.42,,28.5,965,37,31.8,965D6-(E1);
13.07.22 12:27:38,15.03,123.28,138.76,113.46,109.57,119.19,112.66,171.67,140.44,150.11,100.32,79.44,113.49,98.36,161.68,108.21,107.5,154.57,89.92,128.84,100.99,117.51,97.34,151.46,103.27,,28.5,965,37,31.83,965D6-(E1);
13.07.22 12:27:53,15.28,161.93,118.46,123.47,108.45,131.24,119.61,177.39,117.2,129.13,113.09,82.58,115.21,104.79,138.84,93.51,119.21,119.32,100.9,132.33,101.39,105.89,127.57,136.91,103.02,,28.5,965,37,31.86,965D6-(E1);
13.07.22 12:28:08,15.53,152.6,115.16,116.31,129.48,141.57,139.7,181.89,131.72,124.97,119.83,97.24,125.19,129.84,181.14,149.58,125.31,130,124.13,141.41,124.14,97.44,113.27,176.06,117.38,,28.5,965,37,31.9,965D6-(E1);
13.07.22 12:28:23,15.78,166.79,134.16,94.38,113.67,125.91,121.77,142.96,114,108.48,98.38,87.3,103.76,111.79,142.87,129.16,123.47,131.34,92.83,111.03,105.47,115.18,89.77,142.77,104.57,,28.5,965,37,31.91,965D6-(E1);
13.07.22 12:28:38,16.03,115.03,133.09,131.27,105.67,115.67,132.24,148.88,123.4,126.35,96.46,81.7,120.89,121.51,158.72,121.3,122.86,136.94,73.37,120.88,116.92,109.57,162,111.25,130.42,,28.5,965,37,31.93,965D6-(E1);
13.07.22 12:28:53,16.28,177.47,141.25,121.62,105.67,133.87,125.71,151.79,126.1,133.87,107.77,94.19,129.1,118.14,155.6,132.89,117.55,114.06,128.8,148.22,103.15,147.52,99.78,151.62,110.5,,28.5,965,37,31.96,965D6-(E1);
13.07.22 12:29:08,16.53,122.21,108.41,100.47,81.92,118.01,109.17,137.47,105.46,112.11,85.18,79.32,102.79,97.58,140.41,108.74,97.36,118.03,66.9,106.44,101.66,99.77,91.74,104.37,111.17,,28.5,965,37,31.99,965D6-(E1);
13.07.22 12:29:23,16.78,128.64,110.92,125.79,114.1,126.36,124.98,153.69,114.87,112.95,101.43,96.31,124.59,101.62,126.87,116.91,110.42,126.3,76.4,147.72,109.88,104.77,72.12,133.87,109.17,,28.5,965,37,32.01,965D6-(E1);
13.07.22 12:29:38,17.03,131.75,107.57,92.85,113.39,138.4,114.63,140.45,101.98,113.61,100.88,86.91,122.52,105.99,133.32,104.69,95.4,131.49,92.28,146.38,91.2,77.79,86.51,158.45,97.51,,28.5,965,37,32.04,965D6-(E1);
13.07.22 12:29:53,17.28,141.27,109.66,116.91,117.25,108.46,109.31,173.14,106.87,116.63,73.44,64.38,115.07,120.25,109.17,90.06,97.64,105.46,70.9,115.69,105.61,79.45,93.86,133.87,91.74,,28.5,965,37,32.04,965D6-(E1);
13.07.22 12:30:08,17.53,138.86,115.16,120.25,107.89,128.18,122.21,148.2,114.73,115.62,89.03,85.76,122.96,115.78,143.93,113.53,128.25,122.5,99.47,128.2,100.99,97.44,109.73,110.83,107.06,,28.5,965,37,32.07,965D6-(E1);
13.07.22 12:30:23,17.78,138.7,112.75,117.06,114.38,137.77,107.79,173.14,112.56,118.32,76.62,68.19,100.05,106.66,141.99,111.52,106.2,121.34,77.72,125.54,123.12,99.63,86.38,111.67,97.89,,28.5,965,37,32.08,965D6-(E1);
13.07.22 12:30:38,18.03,133.31,110.36,110.34,103.6,131.4,111.12,145.82,106.59,122.91,129.48,82.2,112.63,107.6,137.11,126.32,104.61,124.83,86.07,118.43,110.02,104.07,96.4,158.28,101.85,,28.5,965,37,32.11,965D6-(E1);
13.07.22 12:30:53,18.28,116.81,113.32,108.87,102.23,130.48,107.38,136.49,104.62,119.5,82.43,82.83,122.37,99.01,132.8,104.95,110.87,120.47,96.63,142.56,102.61,111.71,90.82,142.77,104.05,,28.5,965,37,32.11,965D6-(E1);
13.07.22 12:31:08,18.53,137.27,122.08,122.24,114.53,130.17,109.17,160.88,128.21,128.09,99.35,83.09,126.69,117.86,172.23,137.26,119.36,137.09,93.25,135.86,110.44,110.14,104.43,114.75,124.73,,28.5,965,37,32.14,965D6-(E1);
13.07.22 12:31:23,18.78,122.67,117.45,110.05,95.74,126.97,109.87,165.87,121.17,130.18,101.43,67.23,109.08,89.43,138.67,102.49,109.4,135.27,76,119.8,108.91,89.76,102.23,84.18,99.67,,28.5,965,37,32.15,965D6-(E1);
13.07.22 12:31:38,19.03,113.12,97.63,121.93,99.37,120.08,104.1,155.95,110.13,108.15,97.42,66.52,95.57,84.83,153.23,90.79,140.31,143.9,112.14,151.43,104.24,110,100.05,118.88,101.47,,28.5,965,37,32.16,965D6-(E1);
13.07.22 12:31:53,19.28,107.88,110.08,116.01,102.64,124.7,118.18,162.29,115.31,133.87,91.17,70.84,117.82,108.27,134.18,102.23,98.34,126.89,86.48,127.42,91.2,101.7,98.01,108.06,99.8,,28.5,965,37,32.18,965D6-(E1);
13.07.22 12:32:08,19.53,118.6,116.3,104.64,98.42,109.17,116.75,154.56,134.96,108.48,108.77,76.96,107.67,111.25,137.45,111.26,115.75,122.5,90.05,136.35,99.11,118.97,90.03,125.69,115.88,,28.5,965,37,32.18,965D6-(E1);
13.07.22 12:32:23,19.78,148.44,108.68,118.57,106.36,127.42,116.75,141.29,115.45,121.2,102.83,85.63,124.3,109.76,153.6,110.2,112.04,142.65,88.54,137.65,104.1,118.53,116.56,161.59,103.4,,28.5,965,37,32.19,965D6-(E1);
13.07.22 12:32:38,20.03,101.17,108.13,110.79,85.76,116.84,100.59,150.59,106.31,96.98,87.16,60.63,100.05,93.73,119.71,109.4,100.61,116.89,64.1,105.41,104.38,81.12,82.01,118.02,83.93,,28.5,965,37,32.22,965D6-(E1);
13.07.22 12:32:53,20.28,125.56,138.14,134.6,114.38,149.96,129.4,163.9,130.04,134.4,96.6,88.45,110.78,113.71,148.73,133.18,117.1,140.32,116.04,136.84,103.15,93.24,100.05,139.36,113.31,,28.5,965,37,32.22,965D6-(E1);
13.07.22 12:33:08,20.53,120.4,119.47,119.18,122.64,129.71,129.7,196.34,92.84,110.46,110.78,90.4,121.63,110.57,161.49,137.85,124.54,124.98,86.21,162.65,96.85,122.38,108.74,158.61,106.53,,28.5,965,37,32.22,965D6-(E1);
13.07.22 12:33:23,20.78,141.27,130.53,122.54,113.24,129.56,121.48,161.05,105.32,115.79,108.34,75.35,118.11,117.59,158.35,108.21,125.77,138.93,96.06,132.81,119.21,105.05,94.79,140.75,85.26,,28.5,965,37,32.24,965D6-(E1);
13.07.22 12:33:38,21.03,135.68,118.75,110.94,114.81,135.11,126.3,179.45,93.65,112.28,106.21,68.67,105.15,117.17,157.25,114.88,87.96,132.09,93.95,141.9,103.7,92.97,99.37,95.4,108.25,,28.5,965,37,32.26,965D6-(E1);
