Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 12:33:53,21.28,108.45,108.82,100.75,119.13,147.03,89.79,148.2,108,97.14,94.55,69.87,99.36,104.79,97.7,109.53,98.2,122.93,128.65,135.22,96.98,74.87,83.42,176.24,108.38,,28.5,965,37,32.25,965D6-(E1);
13.07.22 12:34:08,21.53,156.97,109.8,80.29,103.19,120.82,128.07,149.73,105.46,105.53,83.21,68.43,95.57,83.6,135.9,106.9,109.55,118.03,87.03,118.58,92.76,57.03,86.51,50.38,91.87,,28.5,965,37,32.26,965D6-(E1);
13.07.22 12:34:23,21.78,172.09,128.58,119.79,153.62,149.15,117.89,156.13,130.19,126.53,101.02,70.23,127.14,143.59,158.53,115.28,116.95,159.65,131.64,143.55,115.07,120.15,109.87,165.6,107.59,,28.5,965,37,32.28,965D6-(E1);
13.07.22 12:34:38,22.03,139.34,93.77,109.76,97.75,139.82,128.81,155.95,114.44,122.4,100.6,77.7,120.6,99.79,125.52,127.17,109.25,107.1,114.83,154.15,101.8,85.54,109.16,114.33,100.95,,28.5,965,37,32.28,965D6-(E1);
13.07.22 12:34:53,22.28,130.19,109.66,105.37,108.17,133.25,113.36,154.39,105.32,125.32,102.27,90.01,113.35,113.3,148.37,115.42,125.62,117.32,86.21,118.73,107.39,95.53,92.4,100.18,108.51,,28.5,965,37,32.29,965D6-(E1);
13.07.22 12:35:08,22.53,162.45,128.73,124.55,98.15,136.36,139.24,145.65,119.25,147.72,118.8,102.89,138.63,129.11,164.66,145.77,138.38,124.1,92.28,162.12,123.26,130.83,105.4,119.02,123.75,,28.5,965,37,32.29,965D6-(E1);
13.07.22 12:35:23,22.78,127.87,111.2,98.47,100.59,139.35,101.93,141.45,118.81,93.34,103.53,70.23,98.27,91.19,135.03,102.49,95.68,118.18,75.61,131.05,91.85,83.97,93.33,109.17,106.01,,28.5,965,37,32.3,965D6-(E1);
13.07.22 12:35:38,23.03,139.66,134.92,106.68,109.15,110.32,106.14,157.88,110.13,117.64,89.03,81.95,88.26,96.55,135.55,111.66,116.8,140.32,75.47,126.32,102.61,85.41,110.71,121.9,89.4,,28.5,965,37,32.29,965D6-(E1);
13.07.22 12:35:53,23.28,128.02,132.64,114.96,120.44,137.46,145.62,171.49,123.1,127.74,112.22,98.44,142.72,109.49,156.15,117.86,124.54,152.79,96.34,148.72,119.07,116.78,91.21,156.97,117.11,,28.5,965,37,32.29,965D6-(E1);
13.07.22 12:36:08,23.53,138.38,116.88,119.79,105.81,136.99,117.75,184.16,109.42,138.31,96.87,76.09,129.86,105.19,156.88,114.61,123.62,120.04,51.32,139.6,96.45,117.07,109.87,80.17,121.1,,28.5,965,37,32.3,965D6-(E1);
13.07.22 12:36:23,23.78,140.46,119.9,131.11,123.96,131.09,122.21,166.59,139.97,127.22,108.34,74,133.67,112.89,147.48,132.89,99.9,143.43,122.12,139.6,103.02,102.54,113.27,125.25,104.05,,28.5,965,37,32.3,965D6-(E1);
13.07.22 12:36:38,24.03,116.37,126.2,99.18,113.95,117.72,112.8,168.94,115.74,113.28,84.52,73.27,118.55,88.43,143.22,109.67,103.03,124.83,94.09,137.16,92.9,91.36,85.22,122.19,90.14,,28.5,965,37,32.32,965D6-(E1);
13.07.22 12:36:53,24.28,129.88,125.76,130.64,101.13,147.68,106.69,166.77,131.26,130,88.09,79.94,121.63,118.14,153.41,129.3,120.57,135.72,71.68,114.03,96.05,84.75,87.42,98.18,94.49,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:37:08,24.53,140.46,123.99,107.26,107.75,153.75,119.18,172.04,89.37,148.27,92.79,64.03,121.19,107.73,137.97,128.87,118.3,134.2,60.44,158.98,97.51,88.96,113.55,125.25,123.33,,28.5,965,37,32.3,965D6-(E1);
13.07.22 12:37:23,24.78,118.9,132.64,106.97,116.39,127.12,122.64,168.94,108.99,125.66,108.48,61.79,115.79,121.66,139.37,139.47,112.34,128.51,104.79,158.98,119.35,106.88,113.69,171.9,100.44,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:37:38,25.03,113.85,116.3,97.2,98.69,124.55,114.06,150.59,92.3,118.32,84.39,69.03,107.67,99.53,146.05,131.59,111.75,122.79,75.21,122.27,103.83,94.86,87.81,159.93,82.26,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:37:53,25.28,184.8,150.44,151.5,140.67,168.7,120.19,165.51,157.68,125.49,129.02,125.38,152.22,121.51,198.62,129.44,145.37,161.81,140.32,170.83,127.08,124.32,159.82,163.42,136.22,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:38:08,25.53,120.25,126.79,113.16,109.15,142.69,169.56,163.54,134.34,128.61,96.32,82.33,123.41,102.54,136.59,147.74,114.41,147.2,100.9,137,107.12,108.29,97.61,128.34,108.25,,28.5,965,37,32.32,965D6-(E1);
13.07.22 12:38:23,25.78,131.12,109.1,100.33,97.35,104.78,92.52,139.29,110.7,101.15,94.28,75.72,94.63,80.31,149.98,125.2,103.03,112.94,70.12,141.41,108.36,92.83,92.67,128.34,91.13,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:38:38,26.03,122.67,123.84,113.31,112.53,146.71,133.6,162.29,112.85,124.97,93.06,63.2,107.11,115.92,169.18,125.2,114.56,127.63,82.27,132.65,108.22,117.21,70.28,155.5,108.38,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:38:53,26.28,140.79,120.77,116.01,103.87,111.18,119.18,156.83,119.1,120.35,83.47,72.78,140.35,103.47,136.07,127.03,122.4,142.49,82.81,133.45,114.79,94.18,100.45,124.37,113.85,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:39:08,26.53,118.75,96.16,88.7,96.67,151.11,71.69,145.82,92.17,90.51,89.03,69.87,101.83,104.53,125.86,116.37,87.41,144.05,77.46,120.88,97.91,89.36,83.67,106.55,79.29,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:39:23,26.78,116.96,126.64,107.85,114.81,133.4,119.32,151.45,131.57,149.93,98.25,76.09,111.92,112.34,151.61,122.41,114.41,136.18,78.39,155.7,109.47,99.63,108.88,155.18,103.02,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:39:38,27.03,129.1,137.06,120.25,125.74,139.19,110.14,173.88,127.76,128.61,87.96,73.27,113.49,110.43,153.6,132.75,120.42,114.63,91.44,154.84,91.98,100.18,89.38,73.17,95.62,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:39:53,27.28,136.79,120.63,116.91,111.82,155.91,112.52,168.94,115.74,147.54,102.27,75.72,113.92,107.47,156.33,138.29,115.9,116.18,91.44,118.58,103.15,127.18,107.07,72.56,128.7,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:40:08,27.53,130.97,111.34,112.27,109.85,128.95,125.42,169.12,93.78,126.35,101.02,73.63,102.52,113.99,168.8,120.61,102.17,141.56,86.21,126,87.2,94.32,100.05,109.03,101.98,,28.5,965,37,32.33,965D6-(E1);
13.07.22 12:40:23,27.78,134.89,118.6,104.79,92.55,131.7,115.47,128.86,110.56,96.98,84.13,58.31,83.83,104,133.49,100.69,108.23,124.39,75.47,125.07,81.25,100.18,104.71,108.06,104.83,,28.5,965,37,32.32,965D6-(E1);
13.07.22 12:40:38,28.03,124.65,132.94,111.38,97.35,127.12,112.52,164.61,117.35,107.98,88.49,67.59,113.2,108.68,152.87,108.61,110.72,109.45,100.04,127.26,93.68,122.23,99.1,132.67,98.4,,28.5,965,37,32.32,965D6-(E1);
13.07.22 12:40:53,28.28,143.21,156.78,126.1,136.33,169.05,132.09,203.71,138.08,157.01,118.21,100.99,130.61,125.79,176.66,130.59,151.68,169.73,114.38,156.56,136.09,134.99,107.49,114.9,125.86,,28.5,965,37,32.32,965D6-(E1);
13.07.22 12:41:08,28.53,142.56,155.31,145.82,123.08,148.33,133.9,188.37,118.96,166.34,151.74,76.58,139.57,121.37,211.39,137.41,128.1,157.67,111.7,161.25,121.37,128.69,123.71,126.42,113.31,,28.5,965,37,32.3,965D6-(E1);
13.07.22 12:41:23,28.78,139.34,128.58,109.9,104.56,139.19,122.64,180.2,119.55,136.88,110.35,78.44,105.99,112.61,169.56,123.8,122.24,154.41,82.54,157.25,109.6,119.71,104.02,89.16,106.8,,28.5,965,37,32.28,965D6-(E1);
13.07.22 12:41:38,29.03,139.82,139.38,122.54,112.67,153.59,122.06,179.26,108.57,147.72,121.02,70.96,125.04,134.99,176.08,118.27,120.57,132.85,69.35,116.45,105.2,120.45,93.6,68.12,119.99,,28.5,965,37,32.29,965D6-(E1);
13.07.22 12:41:53,29.28,134.89,125.9,111.68,111.54,129.4,114.34,163.9,124,117.14,102.41,69.75,136.92,114.81,144.99,142,105.48,135.87,87.71,142.56,98.18,83.58,85.6,118.59,115.88,,28.5,965,37,32.29,965D6-(E1);
13.07.22 12:42:08,29.53,152.1,146.28,133.17,136.94,152.92,137.86,180.2,126.25,135.64,107.63,80.82,130.77,143.13,162.79,137.85,141.28,146.25,117.7,139.44,128.86,104.21,117.28,129.23,123.47,,28.5,965,37,32.28,965D6-(E1);
13.07.22 12:42:23,29.78,158.5,145.01,142.04,123.67,135.89,143.74,197.72,115.02,143.53,119.68,89.88,129.55,116.75,172.61,136.82,136.77,153.93,114.68,139.93,123.99,124.17,124.45,138.29,116.02,,28.5,965,37,32.26,965D6-(E1);
13.07.22 12:42:38,30.03,137.11,129.03,112.57,122.78,140.62,127.18,179.82,110.13,124.97,106.78,71.69,113.49,105.46,157.8,121.16,110.87,147.52,93.95,152.45,107.12,83.19,92.4,97.25,101.6,,28.5,965,37,32.26,965D6-(E1);
13.07.22 12:42:53,30.28,125.56,127.24,113.31,121.32,131.7,125.86,176.84,115.02,120.35,99.35,77.7,103.76,110.84,132.12,117.73,124.39,117.18,75.87,142.89,106.98,107.72,94.53,123.93,104.31,,28.5,965,37,32.25,965D6-(E1);
13.07.22 12:43:08,30.53,124.04,121.5,112.57,108.59,131.09,118.61,167.31,106.17,121.72,97.15,63.32,144.95,92.33,135.9,118.96,125.93,123.66,92.69,139.6,117.63,115.32,103.47,108.06,96.5,,28.5,965,37,32.25,965D6-(E1);
13.07.22 12:43:23,30.78,135.36,128.43,119.79,120.44,142.05,117.89,182.08,118.37,135.82,104.66,68.31,124,113.44,193.31,134.48,122.55,148.31,89.23,151.6,108.22,109,118.58,174.15,112.24,,28.5,965,37,32.22,965D6-(E1);
13.07.22 12:43:38,31.03,166.44,154,132.85,130.38,148.17,137.55,180.95,142.34,152.89,121.02,92.09,136.92,124.5,180.36,140.21,132.96,142.8,103.78,155.87,115.64,118.68,128.47,183.3,123.19,,28.5,965,37,32.22,965D6-(E1);
13.07.22 12:43:53,31.28,163.14,137.06,122.54,132.35,140.46,136.79,191.26,120.87,147.54,127.8,103.7,109.5,120.53,204.84,161.85,136.29,168.03,100.9,124.13,112.82,103.37,102.92,143.24,104.18,,28.5,965,37,32.21,965D6-(E1);
13.07.22 12:44:08,31.53,128.79,124.43,106.68,107.61,141.09,124.1,172.77,105.46,126.18,100.32,69.51,101.83,130.86,145.88,124.36,103.32,134.51,75.08,151.94,111.14,109.43,95.33,105.32,110.37,,28.5,965,37,32.18,965D6-(E1);
13.07.22 12:44:23,31.78,139.18,124.87,118.12,105.67,129.25,118.18,154.74,124.74,112.95,106.35,68.19,121.63,108,160.56,132.89,118.45,129.11,92.69,141.24,111,95.4,100.73,123.79,106.14,,28.5,965,37,32.18,965D6-(E1);
13.07.22 12:44:38,32.03,108.45,142.97,108.73,107.61,138.88,126.59,157.18,110.13,122.91,90.23,65.57,110.64,95.52,159.82,121.85,115.31,148.47,80.26,122.58,94.47,90.69,89.77,126.86,108.77,,28.5,965,37,32.18,965D6-(E1);
13.07.22 12:44:53,32.28,134.89,120.05,122.08,97.48,146.06,124.25,163.01,117.35,122.74,94.41,71.93,100.73,93.22,144.1,124.92,105.48,133.15,86.21,126.32,112.4,95.67,97.74,141.06,104.18,,28.5,965,37,32.16,965D6-(E1);
13.07.22 12:45:08,32.53,136.79,134.16,110.49,101.95,140.93,111.68,180.57,124.59,123.08,97.97,68.79,100.87,111.52,151.42,116.91,129.5,136.64,97.19,150.58,109.19,86.06,96.94,109.3,103.27,,28.5,965,37,32.15,965D6-(E1);
13.07.22 12:45:23,32.78,134.57,134.61,106.24,111.54,118.75,109.59,178.14,131.87,127.57,99.35,52.93,123.85,108.68,137.63,120.88,132.17,147.2,70.64,128.84,113.66,121.78,103.88,119.31,103.15,,28.5,965,37,32.14,965D6-(E1);
13.07.22 12:45:38,33.03,147.95,135.53,120.09,113.24,140.14,116.89,156.65,140.6,129.48,112.07,61.91,126.69,123.93,167.29,130.16,125.77,133.15,81.06,166.54,114.37,110.42,102.23,136,122.91,,28.5,965,37,32.14,965D6-(E1);
13.07.22 12:45:53,33.28,127.71,119.32,96.49,112.11,128.95,132.55,183.97,116.62,118.15,105.78,72.17,123.11,107.2,169.18,123.52,105.91,134.2,76.8,117.66,120.94,79.32,99.23,134.78,104.83,,28.5,965,37,32.11,965D6-(E1);
13.07.22 12:46:08,33.53,126.94,122.81,101.76,101.54,140.62,116.04,162.47,128.06,123.26,97.15,46.33,109.79,116.33,149.09,127.88,95.12,127.63,97.19,117.36,98.58,113.73,91.35,111.81,98.27,,28.5,965,37,32.11,965D6-(E1);
13.07.22 12:46:23,33.78,127.1,122.81,96.78,92.68,118.75,106.14,152.83,104.62,116.46,88.63,61.56,109.08,99.01,135.38,120.19,100.18,140.63,77.46,131.05,96.18,75.5,86.77,80.05,94.99,,28.5,965,37,32.08,965D6-(E1);
13.07.22 12:46:38,34.03,134.1,142.97,105.51,121.03,141.89,113.78,190.29,117.64,119.67,111.79,59.7,104.46,104.4,140.59,149.43,103.61,165.99,94.09,143.55,102.75,105.33,101.96,134.78,88.91,,28.5,965,37,32.08,965D6-(E1);
13.07.22 12:46:53,34.28,123.88,115.02,97.34,92.15,141.09,112.1,163.19,113.14,122.4,101.85,66.52,106.69,104.4,158.16,119.23,108.38,117.75,61.83,123.67,104.38,93.64,97.88,78.56,100.44,,28.5,965,37,32.07,965D6-(E1);
13.07.22 12:47:08,34.53,138.06,127.54,128.28,113.67,120.97,127.03,175.35,107.29,127.74,98.11,72.54,120.6,120.95,131.27,126.89,115.75,140.78,93.67,126.63,98.44,105.47,102.5,133.42,111.17,,28.5,965,37,32.05,965D6-(E1);
13.07.22 12:47:23,34.78,137.74,135.68,91.87,106.78,143.97,112.24,175.54,137.3,117.98,106.49,54.18,113.63,113.16,152.51,141.7,97.22,141.4,67.03,136.03,97.38,110.14,113.98,127.45,107.85,,28.5,965,37,32.04,965D6-(E1);
13.07.22 12:47:38,35.03,128.33,130.23,106.09,107.19,140.62,120.19,166.05,109.85,124.46,107.77,64.14,108.94,113.16,158.53,129.73,114.41,139.86,82.95,135.38,106.98,106.03,104.98,105.18,103.92,,28.5,965,37,32.03,965C3-(E1);
13.07.22 12:47:53,35.28,128.49,129.78,105.95,107.19,141.25,120.19,165.87,109.99,124.29,107.91,64.26,108.8,113.16,159.45,129.59,114.26,139.55,82.81,135.86,107.39,105.75,104.85,105.32,103.92,,28.5,965,37,32.01,965C3-(E1);
13.07.22 12:48:08,35.53,128.02,129.03,105.08,106.78,140.77,119.9,165.33,109.7,124.11,107.63,63.67,108.51,112.61,158.9,129.44,114.41,138.63,82.14,134.41,106.98,104.91,104.57,104.77,103.53,,28.5,965,37,31.94,965C3-(E1);
13.07.22 12:48:23,35.78,127.87,129.03,105.22,107.05,140.77,119.9,165.15,109.56,123.94,108.2,63.56,108.66,112.48,158.9,129.3,113.97,138.16,81.87,134.41,106.7,105.61,104.57,104.23,104.05,,28.5,965,37,31.89,965C3-(E1);
13.07.22 12:48:38,36.03,127.41,128.43,104.79,106.78,139.98,119.18,164.44,109.28,123.43,108.34,63.44,108.51,112.2,158.72,128.59,114.12,137.86,81.6,133.13,107.25,105.33,104.16,103.82,104.18,,28.5,965,37,31.83,965C3-(E1);
13.07.22 12:48:53,36.28,127.25,128.28,104.79,106.64,139.98,118.03,164.08,109.42,123.08,109.06,63.32,108.51,111.66,158.35,128.45,113.52,137.86,81.6,132.49,106.7,105.47,104.16,103.42,103.79,,28.5,965,37,31.78,965C3-(E1);
13.07.22 12:49:08,36.53,126.79,127.98,104.21,106.5,138.72,117.32,163.72,109.28,122.91,109.34,62.85,108.09,110.84,157.8,127.88,113.52,136.79,81.33,131.53,106.57,105.47,104.16,102.87,103.53,,28.5,965,37,31.72,965C3-(E1);
13.07.22 12:49:23,36.78,126.48,127.68,104.21,106.5,138.72,116.75,163.19,109.13,122.4,109.2,62.97,108.37,110.43,157.43,126.75,113.52,137.71,81.2,130.74,106.84,105.19,104.02,102.2,103.53,,28.5,965,37,31.68,965C3-(E1);
13.07.22 12:49:38,37.03,126.33,127.54,103.77,106.36,138.25,116.75,162.47,109.28,122.06,109.91,62.61,108.51,109.89,156.7,127.17,113.52,136.18,80.79,129.78,106.15,105.05,103.6,101.79,103.27,,28.5,965,37,31.63,965C3-(E1);
13.07.22 12:49:53,37.28,126.02,127.24,103.48,105.94,137.46,115.76,161.58,108.71,121.72,110.49,62.26,107.95,109.62,155.6,125.9,113.52,135.27,80.79,128.99,106.15,105.05,103.88,100.99,103.4,,28.5,965,37,31.58,965C3-(E1);
13.07.22 12:50:08,37.53,125.72,126.79,103.2,105.67,136.67,114.77,160.7,108.57,121.03,110.35,61.91,107.95,108.81,154.87,125.06,112.93,133.75,80.52,127.89,105.61,104.63,102.92,100.32,102.63,,28.5,965,37,31.53,965C3-(E1);
13.07.22 12:50:23,37.78,125.41,126.5,103.05,106.08,136.52,114.63,160.34,108.42,121.03,110.78,61.56,107.95,108.14,154.51,124.78,113.23,133,80.12,126.47,106.15,105.05,103.33,99.92,103.4,,28.5,965,37,31.49,965C3-(E1);
13.07.22 12:50:38,38.03,125.1,125.9,102.76,105.67,136.05,113.92,159.46,108.71,120.69,111.06,61.21,107.53,107.47,153.78,123.66,112.93,133.15,79.72,126.16,106.15,104.63,103.47,99.25,102.76,,28.5,965,37,31.44,965C3-(E1);
13.07.22 12:50:53,38.28,124.8,125.31,102.48,105.94,135.58,113.5,158.93,108.14,120.18,110.92,60.74,107.53,106.93,153.05,123.38,112.63,133.45,79.85,125.85,106.15,104.35,102.92,98.45,102.76,,28.5,965,37,31.4,965C3-(E1);
13.07.22 12:51:08,38.53,124.49,124.58,102.04,105.67,134.8,112.8,158.41,108.14,120.01,111.35,60.86,107.25,106.13,151.97,121.71,112.78,133,79.59,124.91,105.47,104.35,103.33,97.78,102.76,,28.5,965,37,31.35,965C3-(E1);
13.07.22 12:51:23,38.78,124.19,123.99,101.76,105.53,134.49,112.1,157.53,108,120.01,111.79,60.28,107.11,106.8,151.24,120.75,112.78,131.79,79.59,124.29,105.2,104.07,103.05,96.86,102.11,,28.5,965,37,31.29,965C3-(E1);
13.07.22 12:51:38,39.03,123.88,123.84,101.33,105.11,134.18,110.98,156.65,108,119.16,111.93,59.93,107.11,106.13,151.06,120.33,112.34,131.49,79.19,123.98,105.33,104.49,102.78,96.46,102.63,,28.5,965,37,31.26,965C3-(E1);
13.07.22 12:51:53,39.28,123.43,123.55,101.04,105.11,133.09,110.14,155.43,107.58,119.16,111.93,59.46,106.97,104.4,149.8,119.37,112.63,130.75,78.92,123.2,105.06,103.79,102.64,95.8,102.63,,28.5,965,37,31.21,965C3-(E1);
13.07.22 12:52:08,39.53,123.43,123.4,101.18,104.98,133.09,109.73,155.08,107.86,119.16,112.51,59.12,106.83,105.19,149.98,119.09,112.34,130.3,78.52,122.12,105.2,103.65,102.5,95.54,102.37,,28.5,965,37,31.15,965C3-(E1);
13.07.22 12:52:23,39.78,122.97,122.96,100.61,104.7,132.01,108.9,154.04,107.43,118.66,112.22,58.31,106.27,103.87,148.55,117.86,111.9,128.07,77.99,120.42,104.65,103.65,102.5,94.48,101.98,,28.5,965,37,31.11,965C3-(E1);
13.07.22 12:52:38,40.03,122.67,122.96,100.61,104.7,132.17,108.76,153.35,107.43,118.15,112.65,58.42,106.69,104.4,148.19,117.59,111.6,126.3,78.12,120.57,104.79,103.79,102.09,94.61,102.37,,28.5,965,37,31.07,965C3-(E1);
13.07.22 12:52:53,40.28,122.36,122.52,100.33,104.84,130.94,108.48,153.18,107.15,118.15,112.51,57.73,106.41,104.13,147.48,117.45,111.6,125.71,77.46,120.27,104.79,103.65,102.37,93.83,101.85,,28.5,965,37,31.01,965C3-(E1);
13.07.22 12:53:08,40.53,122.36,122.38,99.9,104.15,130.78,108.62,152.31,107.29,117.64,112.36,57.73,106.41,103.34,147.3,116.77,111.6,124.68,77.46,119.65,104.65,103.65,101.82,93.57,101.72,,28.5,965,37,30.97,965C3-(E1);
13.07.22 12:53:23,40.78,121.76,121.79,99.61,104.42,131.09,108.07,152.14,106.59,117.47,112.8,57.27,105.71,102.28,146.76,115.69,111.45,123.95,77.19,119.34,103.83,103.37,101.82,92.39,101.72,,28.5,965,37,30.93,965C3-(E1);
13.07.22 12:53:38,41.03,121.61,121.65,99.47,104.56,130.17,107.24,151.28,107.15,117.14,112.65,57.27,105.85,102.02,146.23,114.74,111.16,123.08,76.93,119.04,104.38,103.09,102.23,92.65,101.85,,28.5,965,37,30.9,965C3-(E1);
13.07.22 12:53:53,41.28,121.46,121.06,99.33,104.15,129.71,106.56,150.76,107.15,117.47,112.8,56.81,105.99,100.58,146.23,113.93,110.72,121.63,77.06,118.43,104.1,103.79,101.68,92,101.47,,28.5,965,37,30.86,965C3-(E1);
13.07.22 12:54:08,41.53,120.85,120.77,99.04,103.74,129.25,105.87,149.91,106.59,117.14,112.36,56.58,106.13,99.79,145.7,114.07,110.87,121.34,76.4,118.43,104.38,103.09,101.82,91.48,101.34,,28.5,965,37,30.83,965C3-(E1);
13.07.22 12:54:23,41.78,120.7,120.77,99.04,103.74,129.25,105.46,149.22,106.73,116.8,112.8,56.58,105.43,99.66,145.52,112.86,110.87,121.48,76.4,117.05,103.97,103.65,101.68,90.83,101.47,,28.5,965,37,30.79,965C3-(E1);
13.07.22 12:54:38,42.03,120.4,120.19,98.9,103.46,129.1,105.73,148.88,106.59,116.97,112.51,56.23,105.29,100.05,145.17,111.66,110.87,121.77,76,116.9,103.7,103.23,101.96,91.22,101.34,,28.5,965,37,30.76,965C3-(E1);
13.07.22 12:54:53,42.28,120.1,119.9,98.47,103.46,128.64,105.05,148.03,106.17,116.46,111.93,55.78,105.01,99.66,144.1,110.99,110.13,121.48,76,115.99,103.7,103.93,101.55,90.71,101.08,,28.5,965,37,30.75,965C3-(E1);
13.07.22 12:55:08,42.53,119.8,119.61,98.19,103.46,128.34,104.64,148.03,106.31,116.63,111.93,55.43,105.29,99.66,144.1,110.73,110.42,120.47,75.87,116.45,103.56,103.23,101.96,90.96,100.57,,28.5,965,37,30.72,965C3-(E1);
13.07.22 12:55:23,42.78,119.65,119.04,98.33,103.46,128.03,104.51,147.52,106.03,116.13,111.79,55.55,105.29,99.27,143.4,110.06,110.42,118.18,75.74,115.54,103.29,103.79,101.82,90.45,100.44,,28.5,965,37,30.71,965C3-(E1);
13.07.22 12:55:38,43.03,119.35,118.89,98.05,103.32,127.42,104.1,146.33,105.89,116.29,111.79,55.09,104.87,99.27,143.05,109.53,110.13,118.03,75.34,114.18,103.29,103.09,101.68,89.93,100.44,,28.5,965,37,30.68,965C3-(E1);
13.07.22 12:55:53,43.28,119.35,118.46,98.19,103.05,126.82,103.69,146.33,105.6,115.79,111.64,54.98,104.87,99.92,141.99,109.14,110.13,117.61,75.34,113.58,103.29,102.95,101.27,88.64,100.82,,28.5,965,37,30.65,965C3-(E1);
13.07.22 12:56:08,43.53,119.05,118.46,97.77,103.19,126.97,103.55,145.48,106.03,116.29,111.5,54.86,105.15,100.05,141.29,109.01,109.99,117.18,75.21,112.97,103.15,103.09,101.27,89.03,100.44,,28.5,965,37,30.61,965C3-(E1);
13.07.22 12:56:23,43.78,118.9,118.17,97.62,102.91,126.82,103.83,145.99,105.6,115.45,111.5,54.63,104.32,100.58,141.99,108.08,109.84,118.75,75.34,112.82,103.29,103.37,101.55,88.51,100.31,,28.5,965,37,30.6,965C3-(E1);
13.07.22 12:56:38,44.03,118.75,118.17,97.91,102.91,126.06,103.42,145.31,105.74,115.79,111.06,54.52,104.87,98.88,140.76,108.74,109.69,118.18,75.08,112.37,103.42,103.51,101.41,88.13,100.31,,28.5,965,37,30.57,965C3-(E1);
13.07.22 12:56:53,44.28,118.45,117.45,97.2,102.64,125.15,102.88,145.31,105.46,115.45,110.92,54.63,104.32,98.1,140.24,107.95,109.84,116.75,74.55,111.33,103.02,103.65,101.41,87.75,99.8,,28.5,965,37,30.54,965C3-(E1);
13.07.22 12:57:08,44.53,118.45,117.16,97.2,102.64,124.55,102.61,144.64,105.32,114.78,110.2,54.18,104.6,98.1,140.06,107.43,109.11,115.9,74.42,110.73,102.88,103.37,101.27,87.23,99.93,,28.5,965,37,30.54,965C3-(E1);
13.07.22 12:57:23,44.78,118.15,116.73,97.06,102.36,123.65,101.93,144.13,105.18,114.78,110.35,54.06,104.32,98.1,139.89,107.3,109.4,114.77,74.16,109.99,103.15,103.51,101.41,86.34,99.93,,28.5,965,37,30.5,965C3-(E1);
13.07.22 12:57:38,45.03,118,116.73,97.2,102.64,123.95,101.39,143.97,105.46,114.62,110.49,53.95,104.32,98.36,139.89,106.51,109.25,114.77,74.42,108.95,102.47,102.95,101.55,86.47,100.06,,28.5,965,37,30.47,965C3-(E1);
13.07.22 12:57:53,45.28,118.15,116.59,96.78,102.5,123.8,100.99,143.63,105.18,114.78,110.06,53.5,104.32,98.49,140.06,106.64,109.55,114.91,74.03,108.36,102.34,103.23,101.14,85.71,100.18,,28.5,965,37,30.46,965C3-(E1);
13.07.22 12:58:08,45.53,117.85,115.88,96.92,102.36,123.35,100.32,143.63,104.76,114.28,109.63,53.27,104.04,97.33,139.54,105.73,109.25,114.34,73.64,107.91,102.47,103.37,101,84.94,99.93,,28.5,965,37,30.44,965C3-(E1);
13.07.22 12:58:23,45.78,117.71,115.73,96.63,102.09,123.05,100.18,143.46,104.76,113.95,108.91,52.93,103.76,96.94,139.37,104.56,109.25,114.06,73.77,107.47,102.47,103.23,101,84.82,99.8,,28.5,965,37,30.43,965C3-(E1);
13.07.22 12:58:38,46.03,117.71,115.16,96.78,102.23,123.5,99.91,142.79,104.76,113.78,108.63,52.93,104.04,97.07,139.19,103.91,108.82,114.91,73.64,107.76,102.2,102.95,101,84.69,99.29,,28.5,965,37,30.4,965C3-(E1);
13.07.22 12:58:53,46.28,117.41,115.16,96.63,102.36,123.35,100.32,142.79,104.9,113.95,108.77,52.82,104.04,97.84,139.54,104.17,108.96,115.9,73.77,107.62,102.34,102.95,101.27,84.06,99.42,,28.5,965,37,30.39,965C3-(E1);
13.07.22 12:59:08,46.53,117.41,114.88,96.63,102.09,123.05,99.91,142.62,104.9,113.45,108.91,52.59,103.49,96.81,139.37,103.26,108.96,114.77,73.37,107.17,102.34,103.65,101.41,83.55,99.42,,28.5,965,37,30.36,965C3-(E1);
13.07.22 12:59:23,46.78,117.26,114.74,96.21,101.95,122.9,99.38,142.12,104.48,113.45,107.34,52.25,103.76,96.04,138.67,102.75,108.67,115.19,72.98,106.88,101.8,103.09,100.86,83.3,99.42,,28.5,965,37,30.36,965C3-(E1);
