Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 10:34:10,3.78,101.98,110.33,101.29,90.64,114.2,101.62,117.36,105.71,115.99,108.46,82.24,107.5,91.12,131.85,100.38,120.88,104.19,101.44,122.13,97.46,106.85,86.82,96.53,94.29,,28,965,37,27.76,965D6-(E1);
13.07.22 10:34:25,4.03,113.84,118.3,107.68,115.94,141.3,106.38,132.45,119.84,114.31,139.97,87.48,126.7,101.05,179.19,119.34,123.18,119.17,117.55,133.17,113.92,95.89,110.83,100.67,104.66,,28,965,37,27.76,965D6-(E1);
13.07.22 10:34:40,4.28,99.72,103.27,100,103.01,126.07,78.32,118.61,99.86,111.8,97.1,70.12,98.77,91.38,134.25,96.2,107.92,89.08,98.86,95.56,93.62,70.75,100,97.86,88.71,,28,965,37,27.76,965D6-(E1);
13.07.22 10:34:55,4.53,110.76,96.64,98.15,98.78,123.21,97.86,133.76,119.25,100.16,93,83.26,115.78,86.86,135.46,89.74,109.82,94.81,92.78,97.41,104.61,89.42,102.88,91.29,96.18,,28,965,37,27.76,965D6-(E1);
13.07.22 10:35:10,4.78,92.76,81.8,89.59,90.5,108.01,82.7,116.43,93.18,108.65,100.14,72.06,106.52,81.68,115.64,81.41,89.53,101.21,84.08,102.75,89.57,86.12,91.28,85.5,76.37,,28,965,37,27.78,965D6-(E1);
13.07.22 10:35:25,5.03,103.97,105.6,90.98,92.22,89.39,87.53,108.94,86,102.1,110.04,68.07,101.24,94.95,127.43,60.56,96.05,90.89,83.54,111.32,91.65,100.28,91.81,97.06,87.37,,28,965,37,27.78,965D6-(E1);
13.07.22 10:35:40,5.28,118.3,99.05,86.57,99.59,122.46,87.79,113.97,106.14,116.66,104.76,80.73,93.09,104.62,134.77,84.03,103.14,99.87,80.97,121.51,103.11,87.3,99.05,94.95,97.96,,28,965,37,27.78,965D6-(E1);
13.07.22 10:35:55,5.53,112.67,120.19,107.09,105.22,106.16,104.6,137.37,108.4,99.84,108.89,89.68,113.47,91.5,151.19,100.64,103.14,101.21,97.43,129.66,105.57,100.83,97.96,92.46,105.7,,28,965,37,27.78,965D6-(E1);
13.07.22 10:36:10,5.78,104.69,111.46,90.7,92.62,105.74,96.93,119.39,94.26,102.75,101.25,70.48,108.77,106.89,106.46,98.35,106.32,88.17,83.4,119.66,84.95,59.98,103.43,83.09,94.8,,28,965,37,27.78,965D6-(E1);
13.07.22 10:36:25,6.03,102.69,95.97,101.72,98.91,105.6,91.02,144.21,94.53,117.51,89.49,71.57,117.09,100.39,138.76,88.88,98.16,105.42,88.74,111.32,82.04,87.83,86.82,81.58,91.05,,28,965,37,27.79,965D6-(E1);
13.07.22 10:36:40,6.28,120.56,109.49,101.29,86.85,118.15,91.41,117.05,103.47,111.97,102.93,69.88,104.56,89.48,145.63,105.68,100.14,83.45,88.88,129.34,87.51,94.66,92.34,97.6,95.05,,28,965,37,27.78,965D6-(E1);
13.07.22 10:36:55,6.53,103.69,100,102.87,96.08,115.37,96.8,126.33,101.94,105.03,96.55,82.75,87,88.98,117.27,95.32,103.72,102.43,79.23,102.32,101.35,96.02,86.69,95.74,89.08,,28,965,37,27.78,965D6-(E1);
13.07.22 10:37:11,6.8,97.33,90.55,89.04,91.56,94.1,82.19,108.34,103.19,108.32,83.65,62.24,98.77,67.88,104.87,84.03,97.45,80.69,73.92,113.87,90.48,86.12,79.51,84.48,71.51,,28,965,37,27.79,965D6-(E1);
13.07.22 10:37:25,7.03,115.32,102.86,85.75,86.33,100.14,97.19,149.82,90.5,93.14,96,71.33,87.26,88.98,119.08,84.75,98.16,122.2,87.92,134.94,76.42,84.93,85.14,89.34,101.16,,28,965,37,27.78,965D6-(E1);
13.07.22 10:37:41,7.3,105.4,104.09,96.73,90.64,110.87,88.3,128.25,83.64,102.43,96.96,68.31,98.09,92.65,122.23,100.38,95.49,117.45,86.68,118.43,99.6,84.15,91.68,86.52,92.42,,28,965,37,27.79,965D6-(E1);
13.07.22 10:37:56,7.55,110.03,120.48,107.83,92.22,110.44,107.07,135.39,104.03,117.85,97.78,81.74,121.34,96.75,131.68,73.57,102.71,99.46,94.74,141.47,90.87,103.47,103.56,92.2,103.87,,28,965,37,27.78,965D6-(E1);
13.07.22 10:38:11,7.8,117.85,96.77,106.36,100.68,112.02,115.03,110.61,106.98,113.3,98.06,76.61,102.2,99.87,131.34,91.09,95.77,96.13,88.05,104.51,91.65,96.98,107.59,90.51,96.18,,28,965,37,27.78,965D6-(E1);
13.07.22 10:38:26,8.05,124.36,106.29,106.95,97.29,123.51,112.35,136.38,117.19,122.28,114.97,64.96,89.63,100.65,149.21,90.6,105.45,114.61,107.69,117.21,93.75,93.99,93.8,88.44,87.61,,28,965,37,27.78,965D6-(E1);
13.07.22 10:38:41,8.3,105.69,101.49,101.43,90.77,110.44,83.96,139.69,100.83,128.68,80.91,80.48,114.34,93.03,125.07,92.2,109.82,106.52,104.91,110.72,100.4,76.03,78.12,79.83,93.04,,28,965,37,27.78,965D6-(E1);
13.07.22 10:38:56,8.55,101.84,90.82,86.29,81.96,68.77,90.76,114.43,78.35,97.75,78.96,59.2,94.03,85.74,108.21,77.4,88.43,91.8,73.39,106.27,80.15,73,79.38,78.71,81.21,,28,965,37,27.78,965D6-(E1);
13.07.22 10:39:11,8.8,132.72,116.43,119.8,108.42,152.99,99.73,137.53,106.28,144.19,105.9,79.22,95.92,107.29,146.16,104.77,119.97,122.2,110.94,135.27,108.88,108.41,103.15,100.54,112.88,,28,965,37,27.78,965D6-(E1);
13.07.22 10:39:26,9.05,88.53,83.2,89.73,83.49,99.31,94.94,113.51,101.38,92.19,68.68,57.47,86.35,77.56,124.57,93.32,100.57,82.82,74.71,108.49,79.9,64.82,83.46,90.64,79.91,,28,965,37,27.78,965D6-(E1);
13.07.22 10:39:41,9.3,110.47,112.73,104.47,95.01,101.95,106.52,109.85,104.87,110.97,99.17,59.67,106.38,92.26,121.9,104.64,98.87,97.19,100.29,129.82,93.09,96.57,85.01,91.94,95.93,,28,965,37,27.78,965D6-(E1);
13.07.22 10:39:56,9.55,112.96,110.62,110.92,103.83,120.37,111.09,116.9,113.85,124.34,98.89,74.39,113.33,96.62,124.74,100.13,111,105.56,101.73,132.53,108.33,97.94,93.13,97.73,99.87,,28,965,37,27.76,965D6-(E1);
13.07.22 10:40:11,9.8,101.27,97.31,93.07,94.08,111.88,97.73,116.12,92.38,114.31,77.67,62.48,93.63,87.11,134.6,90.6,103.43,97.86,83,108.34,100.81,87.3,89.17,83.6,89.82,,28,965,37,27.78,965D6-(E1);
13.07.22 10:40:26,10.05,119.66,117.73,114.35,100,95.6,99.46,123.95,120.43,115.48,93.27,61.77,113.62,94.31,126.25,101.54,101.71,101.35,84.63,119.51,97.06,96.98,99.73,95.21,95.17,,28,965,37,27.76,965D6-(E1);
13.07.22 10:40:41,10.3,110.61,102.17,102.01,96.75,102.37,103.24,116.12,99.59,109.97,105.9,72.55,103.03,93.41,150.29,78.57,107.05,114.46,94.32,120.28,96.26,92.5,97.96,96.4,94.55,,28,965,37,27.76,965D6-(E1);
13.07.22 10:40:56,10.55,94.83,100.41,99.29,95.55,100,96.13,112.74,105.85,103.89,86.56,63.42,95.51,98.43,120.9,87.9,97.17,90.11,80.97,94.28,92.7,85.33,84.23,88.96,78.84,,28,965,37,27.76,965D6-(E1);
13.07.22 10:41:11,10.8,107.71,125.02,104.32,102.6,124.56,94.55,120.01,84.03,122.79,100.56,56.31,104.56,93.16,120.24,80.7,105.02,98.13,86.13,116.75,91.52,98.48,95.4,91.03,98.59,,28,965,37,27.76,965D6-(E1);
13.07.22 10:41:26,11.05,110.91,118.88,104.32,110.95,124.11,101.62,136.22,115.01,116.66,90.43,75.12,117.38,95.2,123.4,98.6,117.1,117.59,103.9,128.71,94.01,99.72,71.64,98.66,95.68,,28,965,37,27.76,965D6-(E1);
13.07.22 10:41:41,11.3,118.45,106.99,103.16,101.23,125.62,98.79,115.81,117.63,117.34,98.06,60.49,101.37,104.35,127.26,105.42,102.57,95.08,86.13,128.08,97.06,94.26,100.14,107.2,94.92,,28,965,37,27.76,965D6-(E1);
13.07.22 10:41:56,11.55,116.36,95.44,112.41,87.37,106.3,88.56,122.37,95.89,100.16,93,69.03,107.36,87.6,142.44,82.36,94.65,107.07,79.23,117.36,91.26,96.16,84.75,89.34,84.21,,28,965,37,27.76,965D6-(E1);
13.07.22 10:42:11,11.8,121.62,100,111.37,97.43,118.74,110.67,135.72,119.54,126.07,102.51,77.6,117.38,107.56,144.39,110.16,111.29,123.51,91.52,124.93,100.13,113.28,86.43,101.34,111.67,,28,965,37,27.76,965D6-(E1);
13.07.22 10:42:26,12.05,101.7,113.01,105.63,94.34,115.8,111.09,131.48,105.85,105.69,82.87,69.88,105.96,108.1,145.45,90.84,97.73,100.27,87.64,122.75,92.44,94.94,94.07,82.96,85.42,,28,965,37,27.76,965D6-(E1);
13.07.22 10:42:41,12.3,102.55,101.22,103.02,86.33,128.2,89.2,118.14,90.1,119.2,96.41,67.95,106.52,84.38,112.23,93.82,101.57,91.41,104.77,133.17,88.54,67.03,93.27,78.71,87.37,,28,965,37,27.75,965D6-(E1);
13.07.22 10:42:56,12.55,107.56,105.74,98,95.28,103.91,98.13,124.26,89.3,106.18,100.28,55.62,86.87,97.53,119.25,97.46,94.23,101.48,83.27,130.3,108.88,97.94,82.44,86.01,87,,28,965,37,27.75,965D6-(E1);
13.07.22 10:43:11,12.8,119.96,120.62,101.43,101.5,119.93,101.08,141.02,112.4,127.98,95.04,77.85,110.61,92.9,133.73,93.44,91.59,113.48,107.55,134.78,90.87,100.28,89.7,90.64,92.54,,28,965,37,27.76,965D6-(E1);
13.07.22 10:43:26,13.05,123.9,96.5,99.43,98.64,111.88,100.54,142.86,99.31,125.9,95.72,81.74,103.17,106.22,139.81,89.37,91.87,114.89,105.79,106.12,125.31,90.49,84.75,92.98,86.51,,28,965,37,27.76,965D6-(E1);
13.07.22 10:43:41,13.3,110.76,113.44,103.6,93.01,118.15,100.27,126.01,103.19,111.97,94.22,65.08,106.66,98.18,116.29,101.79,95.49,107.76,93.76,126.82,94.28,90.76,87.34,94.03,93.54,,28,965,37,27.75,965D6-(E1);
13.07.22 10:43:56,13.55,107.85,83.96,84.11,80.3,90.46,79.19,111.21,90.9,92.66,78.06,54.14,84.65,82.04,130.14,81.05,84.49,94.42,75.11,113.42,77.66,76.54,81.29,65.98,76.37,,28,965,37,27.75,965D6-(E1);
13.07.22 10:44:11,13.8,103.12,98.92,100.72,89.59,117.56,103.92,120.01,100.41,124.69,81.82,66.51,115.35,89.23,124.4,85.24,99.57,98.53,79.23,105.39,92.83,84.02,87.21,82.84,92.79,,28,965,37,27.75,965D6-(E1);
