Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.07.22 10:52:11,21.8,128.82,121.79,122.56,103.97,111.45,97.06,149.48,112.83,113.64,114.82,69.27,109.05,89.99,150.83,115.79,114.56,118.02,102.59,129.5,99.73,93.45,114.68,89.6,101.41,,28,965,37,27.65,965D6-(E1);
13.07.22 10:52:26,22.05,112.81,110.9,105.63,92.09,100.69,111.93,119.23,96.71,112.63,94.22,54.94,110.19,81.68,107.57,95.82,105.74,98.66,90.54,113.87,100.67,102.91,86.82,88.96,87,,28,965,37,27.65,965D6-(E1);
13.07.22 10:52:41,22.3,97.47,102.17,85.88,85.16,109.87,90.37,116.28,106.28,90.14,88.82,56.54,94.43,84.62,125.58,90.72,89.53,103.65,76.16,88.94,80.28,91.29,85.01,77.97,84.81,,28,965,37,27.65,965D6-(E1);
13.07.22 10:52:56,22.55,121.77,114.58,102.15,103.15,113.04,98.13,130.67,104.31,118.69,91.1,77.85,109.19,101.18,153.73,107.65,105.45,123.08,97.57,114.33,101.75,101.8,94.6,91.03,102.45,,28,965,37,27.65,965D6-(E1);
13.07.22 10:53:11,22.8,125.27,120.77,113.31,107.58,144.66,107.62,127.45,108.4,125.03,100.97,66.51,115.78,106.49,165.01,110.69,101.71,133.31,113.93,139.17,97.86,100.41,109.28,97.2,103.1,,28,965,37,27.65,965D6-(E1);
13.07.22 10:53:26,23.05,131.15,134.64,115.25,108.98,134.37,114.46,147.43,112.83,132.72,103.64,85.42,106.8,110.54,151.55,105.16,115.75,121.04,100.29,133.82,107.77,111.12,94.87,99.33,104.66,,28,965,37,27.65,965D6-(E1);
13.07.22 10:53:41,23.3,114.73,108.93,108.71,102.05,106.45,104.06,139.03,102.22,110.14,97.92,68.07,104.56,98.18,141.03,102.57,109.38,109.42,82.18,117.98,101.21,106.42,97.42,95.08,94.67,,28,965,37,27.65,965D6-(E1);
13.07.22 10:53:56,23.55,126.5,131.9,111.37,105.22,125.92,117.59,138.2,110.82,135.38,114.82,82.11,122.22,101.57,153.91,106.73,115.9,122.64,94.04,111.92,111.81,112.99,110.83,86.65,102.84,,28,965,37,27.64,965D6-(E1);
13.07.22 10:54:11,23.8,114.14,92.52,88.9,95.28,115.22,96.27,125.38,84.82,101.94,88.42,49.16,105.4,90.87,124.9,91.09,93.95,127.48,91.8,99.42,88.41,76.03,73.99,83.47,78.84,,28,965,37,27.65,965D6-(E1);
13.07.22 10:54:26,24.05,108.58,119.46,87.94,92.35,108.44,105.83,142.86,100.28,107.49,88.96,58.51,92.29,103.56,150.65,100.64,109.68,119.74,82.86,119.35,100.54,104.59,87.73,90.12,88.71,,28,965,37,27.64,965D6-(E1);
13.07.22 10:54:41,24.3,103.97,99.86,105.49,89.32,116.1,104.47,132.45,108.11,106.51,88.82,60.72,115.78,101.31,132.02,100.51,114.85,136.05,87.09,125.25,99.73,84.41,90.49,91.29,87.24,,28,965,37,27.64,965D6-(E1);
13.07.22 10:54:56,24.55,117.41,113.3,102.44,103.83,118.74,109.28,131.48,101.94,108.15,95.86,64.13,105.96,86.73,131.51,100,99.72,102.16,86.68,125.72,95.46,104.59,104.67,92.07,87.49,,28,965,37,27.64,965D6-(E1);
13.07.22 10:55:11,24.8,112.08,107.82,95.03,89.32,114.93,94.42,119.85,106.14,101.78,79.61,64.96,93.63,81.8,120.57,89.86,103.29,93.63,80.7,112.22,88.41,86.51,73.24,85.24,85.66,,28,965,37,27.63,965D6-(E1);
13.07.22 10:55:26,25.05,109.59,107.68,96.73,92.75,109.58,113.2,126.97,89.43,93.29,96,56.66,91.49,82.53,114.66,95.95,100.71,97.19,91.52,112.97,95.46,99.03,83.98,82.96,94.55,,28,965,37,27.64,965D6-(E1);
13.07.22 10:55:41,25.3,121.47,110.33,98.57,84.78,114.05,116.17,142.86,99.72,128.33,98.34,73.53,96.86,107.97,139.11,99.49,97.88,125.12,89.99,117.52,99.73,89.82,92.21,88.06,98.85,,28,965,37,27.64,965D6-(E1);
13.07.22 10:55:56,25.55,112.08,106.29,102.3,95.01,103.63,98.66,127.29,96.16,115.82,94.22,54.94,99.04,95.59,120.41,99.11,107.63,126.15,82.46,96.27,91.39,85.07,83.08,87.29,88.1,,28,965,37,27.64,965D6-(E1);
13.07.22 10:56:11,25.8,120.26,122.52,93.07,106.05,135.46,123.95,134.08,100.97,117.85,87.09,64.61,105.82,108.23,124.4,106.07,110.7,132.71,86.95,124.31,101.62,132.23,97.56,83.85,86.63,,28,965,37,27.63,965D6-(E1);
13.07.22 10:56:26,26.05,111.93,95.84,91.53,89.72,100.42,93.76,123.16,91.57,106.01,77.93,41.43,92.69,101.31,115.8,85.84,101.42,100.13,82.86,110.27,81.91,69.75,77.11,79.21,94.17,,28,965,37,27.61,965D6-(E1);
13.07.22 10:56:41,26.3,109.59,119.32,103.02,106.19,103.91,99.73,145.22,94.53,112.8,93.81,59.79,109.34,98.3,131.16,111.49,104.58,103.92,94.88,102.75,90.87,77.05,82.95,90.51,87.98,,28,965,37,27.61,965D6-(E1);
13.07.22 10:56:56,26.55,127.12,112.73,126.59,100.14,121.86,96.53,149.31,102.63,102.59,98.61,66.27,100.96,99.22,133.56,93.07,109.97,101.75,75.24,100.58,94.01,94.39,88,91.03,95.55,,28,965,37,27.63,965D6-(E1);
13.07.22 10:57:11,26.8,88.8,93.84,85.34,76.27,108.44,90.24,101.03,81.18,116.83,73.46,42.74,75.58,85.86,117.93,78.34,84.22,97.06,79.49,92.44,78.78,84.93,67.36,70.76,74.74,,28,965,37,27.61,965D6-(E1);
13.07.22 10:57:26,27.05,110.76,109.63,98,83.36,128.66,100.13,144.89,103.47,112.3,86.16,56.08,100.96,87.11,133.91,85.24,100.85,100,70.91,121.51,92.96,85.72,86.69,81.83,95.93,,28,965,37,27.61,965D6-(E1);
13.07.22 10:57:41,27.3,119.81,105.6,98.15,87.5,110.3,102.43,145.9,101.66,113.3,94.36,65.56,98.36,92.39,130.65,98.47,103.43,112.63,80.97,120.28,95.86,100.55,91.01,90.12,90.31,,28,965,37,27.61,965D6-(E1);
13.07.22 10:57:56,27.55,115.17,112.02,92.93,87.24,108.01,105.97,128.57,107.83,111.8,77.41,61.07,98.77,88.1,122.06,93.44,107.77,103.78,72.22,111.47,94.94,91.29,97.69,89.34,82.41,,28,965,37,27.61,965D6-(E1);
13.07.22 10:58:11,27.8,118,118.88,108.71,101.36,146.44,111.23,149.48,116.17,129.9,101.25,76.86,116.36,111.9,139.63,109.89,121.8,128.08,94.32,121.98,105.29,127.8,114.1,103.65,97.19,,28,965,37,27.61,965D6-(E1);
13.07.22 10:58:26,28.05,123.14,114.72,99.14,94.88,115.37,101.89,128.25,103.19,101.13,91.91,58.39,97,96.88,131.34,95.57,103.86,117.31,80.7,107.01,90.48,80.64,92.47,93.77,85.3,,28,965,37,27.61,965D6-(E1);
13.07.22 10:58:41,28.3,142.78,112.31,102.73,107.44,118.6,111.93,136.05,113.56,120.57,113.07,57.23,98.22,103.69,139.63,105.29,112.62,97.33,91.94,143.62,97.06,105.3,86.82,100.4,105.83,,28,965,37,27.6,965D6-(E1);
13.07.22 10:58:56,28.55,125.43,111.46,101.87,96.08,116.83,111.93,133.27,105.29,115.82,86.69,65.56,98.22,95.72,140.33,98.22,101.57,110.67,85.99,118.89,91.78,82.85,92.87,90.77,89.7,,28,965,37,27.61,965D6-(E1);
13.07.22 10:59:11,28.8,131.15,137.24,102.3,104.39,125.92,111.09,138.2,108.97,116.66,92.59,65.32,104.28,112.17,143.15,103.21,108.94,128.08,83.81,127.6,96.92,98.07,98.51,92.59,101.41,,28,965,37,27.6,965D6-(E1);
13.07.22 10:59:26,29.05,126.5,137.09,112.11,106.19,134.83,121.33,144.04,115.01,114.31,105.61,77.1,119.42,101.44,149.75,98.98,118.76,131.81,94.88,131.89,113.64,110.26,105.92,102.7,101.54,,28,965,37,27.6,965D6-(E1);
13.07.22 10:59:41,29.3,128.04,134.48,101,107.02,132.19,101.62,139.03,99.31,115.65,93,57.93,104.28,93.16,145.45,100.26,114.41,130.46,99.57,125.56,90.87,111.26,100.96,81.71,93.54,,28,965,37,27.6,965D6-(E1);
13.07.22 10:59:56,29.55,127.74,105.6,95.46,91.95,108.44,109.28,125.06,110.39,104.22,85.89,62.48,99.86,87.85,108.69,107.38,108.36,109,76.69,119.35,92.96,92.5,90.88,88.44,97.19,,28,965,37,27.6,965D6-(E1);
13.07.22 11:00:11,29.8,145.55,123.69,106.65,100.82,135.14,115.03,133.1,118.22,136.27,101.81,70,106.24,109.59,141.03,106.07,112.92,109.28,90.27,132.85,110.69,95.89,104.53,97.46,100.13,,28,965,37,27.58,965D6-(E1);
13.07.22 11:00:26,30.05,127.58,116.72,82.76,84,120.67,103.92,126.97,86.39,107.82,79.22,47.04,91.22,81.92,121.73,84.99,89.94,98.13,67.03,94.42,83.68,89.29,78.75,81.83,86.51,,28,965,37,27.58,965D6-(E1);
13.07.22 11:00:41,30.3,117.41,134.94,96.59,107.44,132.5,124.24,147.26,116.32,125.55,97.1,58.62,114.05,99.22,120.07,98.35,98.58,108.87,93.9,109.53,91.65,104.03,102.46,98.8,94.42,,28,965,37,27.58,965D6-(E1);
13.07.22 11:00:56,30.55,123.44,110.05,92.09,90.24,120.52,103.65,140.86,97.66,89.67,85.89,58.28,85.96,104.88,123.73,101.92,93.95,101.48,88.74,99.57,83.81,81.81,83.85,85.24,87.12,,28,965,37,27.58,965D6-(E1);
13.07.22 11:01:11,30.8,128.82,139.1,117.22,104.11,144.82,128.22,150.17,117.34,126.24,107.32,74.75,117.09,111.76,149.03,110.16,119.82,123.37,96.01,137.05,118.63,112.85,109.56,101.21,115.72,,28,965,37,27.58,965D6-(E1);
13.07.22 11:01:26,31.05,102.41,114.86,93.63,101.64,115.8,102.16,132.45,103.05,101.62,83.52,46.82,97.54,88.61,122.06,93.94,94.09,111.37,80.16,122.91,100.13,109.12,89.7,80.7,89.82,,28,965,37,27.58,965D6-(E1);
13.07.22 11:01:41,31.3,113.84,109.49,86.43,92.09,109.44,101.62,138.69,97.8,117.68,93.95,55.17,94.57,94.95,115.8,101.15,102.86,107.9,79.76,108.78,84.19,76.03,92.21,81.83,85.42,,28,965,37,27.58,965D6-(E1);
13.07.22 11:01:56,31.55,122.22,119.17,96.44,105.35,107.44,113.2,137.7,106.14,123.65,89.22,65.79,102.34,99.22,140.16,105.81,95.63,119.02,77.76,118.43,88.02,106.28,92.07,98.4,91.67,,28,965,37,27.58,965D6-(E1);
13.07.22 11:02:11,31.8,104.83,121.94,90.01,108.7,121.56,102.7,118.14,107.12,111.8,76,38.18,102.06,91.88,122.73,88.51,98.72,115.6,66.26,127.76,95.99,95.21,102.19,78.59,91.05,,28,965,37,27.57,965D6-(E1);
13.07.22 11:02:26,32.05,125.73,112.45,105.19,95.95,133.28,106.79,136.54,102.63,112.3,84.71,64.01,110.19,93.28,136.15,109.36,107.92,101.08,85.17,121.36,104.34,89.96,91.41,86.52,89.94,,28,965,37,27.58,965D6-(E1);
13.07.22 11:02:41,32.3,105.55,112.45,96.02,95.95,106.59,93.76,114.89,96.57,102.43,84.05,51.64,94.43,94.56,128.1,87.17,94.79,103.65,73.53,95.99,94.41,81.68,79.76,79.21,81.45,,28,965,37,27.55,965D6-(E1);
13.07.22 11:02:56,32.55,85.02,102.72,54.17,68.39,85.27,83.96,94.76,76.82,78.57,66.07,37.86,72.08,70.45,96.74,76.35,87.2,93.11,58.67,95.42,77.29,70,72.38,63.38,67.07,,28,965,37,27.57,965D6-(E1);
13.07.22 11:03:11,32.8,104.83,97.04,76.21,82.34,113.47,92.58,113.2,88.37,96.31,78.19,42.85,89.37,78.28,101.88,102.44,77.16,83.71,65.49,104.36,75.31,72.87,81.41,72.09,72.43,,28,965,37,27.55,965D6-(E1);
13.07.22 11:03:26,33.05,121.62,126.95,86.16,97.02,128.51,104.88,158.69,97.53,112.13,72.82,55.51,99.86,93.92,133.22,88.63,97.45,111.09,91.1,127.76,88.93,94.26,101.37,85.75,92.92,,28,965,37,27.57,965D6-(E1);
13.07.22 11:03:41,33.3,124.2,129.64,102.3,106.6,119.93,120.9,153.79,124,117.85,109.61,57.12,125.65,104.35,128.61,116.61,102.57,117.59,93.34,124.15,104.06,101.8,102.74,91.29,103.22,,28,965,37,27.54,965D6-(E1);
13.07.22 11:03:56,33.55,130.06,129.49,108.27,100.95,133.9,99.06,152.23,107.26,105.03,95.72,67.71,100.82,120.65,133.56,98.85,101.71,122.49,91.8,120.12,100.94,98.07,109.28,92.98,91.43,,28,965,37,27.55,965D6-(E1);
13.07.22 11:04:11,33.8,118.75,114.29,96.16,98.51,112.75,118.45,150.34,102.08,114.47,99.72,65.32,113.19,109.32,153.73,100.38,102.43,107.76,80.3,126.03,103.52,98.48,91.01,94.95,95.3,,28,965,37,27.57,965D6-(E1);
13.07.22 11:04:26,34.05,93.31,87.04,86.84,80.81,102.93,85.1,120.64,89.97,103.56,77.54,39.69,85.43,95.08,132.7,79.63,95.07,96.8,70.65,103.19,81.41,83.11,83.72,72.21,86.27,,28,965,37,27.54,965D6-(E1);
13.07.22 11:04:41,34.3,104.54,117.01,71.75,84.78,95.19,98.13,140.19,92.78,104.71,78.06,51.07,94.03,99.61,115.8,101.54,95.49,108.04,74.84,105.39,91.65,59.74,88,78.71,83.85,,28,965,37,27.55,965D6-(E1);
13.07.22 11:04:56,34.55,117.41,121.94,94.61,95.55,136.08,105.15,138.36,107.12,107.33,98.48,48.94,116.94,104.09,137.54,104.51,111.15,110.39,91.52,130.62,96.26,102.22,99.18,87.93,99.49,,28,965,37,27.54,965D6-(E1);
13.07.22 11:05:11,34.8,124.51,115.29,95.03,89.59,109.44,110.26,127.93,98.62,105.85,93.54,47.93,104.14,98.43,126.75,98.6,100.14,120.9,70.26,131.89,100.4,99.03,95.54,87.29,84.57,,28,965,37,27.55,965D6-(E1);
13.07.22 11:05:26,35.05,119.05,126.5,93.07,96.62,103.07,110.81,151.2,107.26,111.97,86.69,49.61,100.41,101.84,125.41,93.32,107.48,113.05,86.27,119.97,89.96,102.22,86.69,88.83,84.81,,28,965,37,27.54,965D6-(E1);
13.07.22 11:05:41,35.3,135.24,136.32,96.02,106.05,117.56,112.91,154.14,86.92,121.42,99.17,62.01,106.24,101.18,125.24,124.06,109.97,120.9,83.13,95.7,97.19,101.52,98.51,100.94,109.53,,28,965,37,27.55,965D6-(E1);
13.07.22 11:05:56,35.55,113.4,108.66,82.62,90.64,113.91,115.46,145.22,93.32,106.51,79.74,42.3,102.76,92.65,127.09,93.44,95.77,122.06,70.13,127.76,94.14,90.76,89.7,79.83,88.47,,28,965,37,27.54,965D6-(E1);
13.07.22 11:06:11,35.8,115.92,118.59,89.87,95.55,119.19,109.14,136.22,97.66,108.98,89.76,50.51,97,100.39,130.99,99.49,101.57,109.42,83.95,114.02,95.33,93.72,93.4,88.96,91.92,,28,965,37,27.54,965C3-(E1);
13.07.22 11:06:26,36.05,115.62,118.16,89.59,95.28,119.19,108.73,136.22,97.66,108.65,89.09,50.4,96.59,100.13,130.48,99.23,101.42,109.7,83.4,113.42,94.94,93.58,93.27,89.21,91.8,,28,965,37,27.5,965C3-(E1);
13.07.22 11:06:41,36.3,115.17,118.3,89.46,95.28,119.04,108.31,136.22,97.66,108.32,88.29,50.17,96.46,100,130.48,98.73,101.14,109.28,83.13,113.42,94.8,93.72,93.13,88.7,91.8,,28,965,37,27.43,965C3-(E1);
13.07.22 11:06:56,36.55,114.88,117.73,89.18,95.01,119.04,107.9,136.05,97.53,108.32,87.49,49.95,96.59,99.87,130.14,98.73,101.57,109.14,83.27,112.67,95.07,93.85,93.13,88.44,91.43,,28,965,37,27.4,965C3-(E1);
13.07.22 11:07:11,36.8,114.14,117.58,89.18,94.88,119.04,107.21,135.89,97.39,107.99,86.96,49.72,96.32,99.61,129.97,98.35,101,109.14,83.13,112.67,94.41,93.58,93,88.06,91.67,,28,965,37,27.35,965C3-(E1);
13.07.22 11:07:26,37.05,113.84,117.15,88.77,94.88,118.15,106.93,135.89,96.98,107.66,86.16,49.61,96.19,99.09,129.12,98.22,101,109.28,82.73,112.37,94.28,93.04,92.74,87.93,91.3,,28,965,37,27.32,965C3-(E1);
13.07.22 11:07:41,37.3,113.4,116.86,88.9,94.74,118.45,106.66,135.72,97.25,107.66,85.89,49.5,96.32,99.61,129.63,97.96,101,109.14,82.73,112.22,94.41,93.04,92.87,87.93,91.55,,28,965,37,27.26,965C3-(E1);
13.07.22 11:07:56,37.55,112.96,116.15,88.35,94.34,118.01,105.97,134.74,96.71,107.33,85.1,49.16,95.78,98.96,128.95,97.33,100.43,108.73,82.18,111.77,94.28,93.04,92.6,86.9,91.43,,28,965,37,27.22,965C3-(E1);
13.07.22 11:08:11,37.8,112.52,115.58,88.21,94.21,117.12,105.83,134.08,96.84,107,84.31,49.05,95.92,98.96,128.61,96.95,100.57,108.31,82.18,111.02,94.01,92.91,92.6,86.39,91.18,,28,965,37,27.16,965C3-(E1);
13.07.22 11:08:26,38.05,112.52,115,88.21,94.08,117.12,105.42,133.59,96.57,106.84,83.92,48.6,95.78,98.7,128.44,96.83,100.28,107.76,81.91,110.57,94.14,93.04,92.34,86.39,90.81,,28,965,37,27.15,965C3-(E1);
13.07.22 11:08:41,38.3,112.37,114.58,87.8,94.21,116.83,104.88,132.94,96.43,106.67,83.52,48.71,95.65,98.3,127.6,96.32,100.43,107.35,81.64,110.27,93.88,92.64,92.34,86.26,91.18,,28,965,37,27.1,965C3-(E1);
13.07.22 11:08:56,38.55,112.22,114.01,87.8,94.08,116.24,104.74,132.62,96.57,106.51,82.73,48.27,95.65,98.05,127.77,96.45,100.14,106.79,81.51,110.12,93.62,92.91,92.21,85.88,90.93,,28,965,37,27.04,965C3-(E1);
13.07.22 11:09:11,38.8,112.22,113.3,87.53,93.94,116.1,104.33,132.13,96.43,106.18,82.6,48.15,95.38,97.66,127.26,96.45,100.14,106.25,81.51,109.68,93.88,92.64,92.07,85.63,90.93,,28,965,37,27.03,965C3-(E1);
13.07.22 11:09:26,39.05,111.78,112.87,87.12,93.81,115.66,103.78,131.48,96.3,106.18,82.08,47.82,95.24,97.4,126.75,95.95,99.86,105.97,81.11,109.23,93.62,92.64,92.21,84.86,90.56,,28,965,37,26.97,965C3-(E1);
13.07.22 11:09:41,39.3,111.78,112.59,87.12,93.81,115.51,103.24,130.67,96.3,106.01,81.82,47.6,95.11,97.53,126.75,95.57,99.86,105.56,81.24,108.78,93.88,92.37,92.07,84.35,90.93,,28,965,37,26.93,965C3-(E1);
13.07.22 11:09:56,39.55,111.49,112.02,86.98,93.55,114.93,102.83,130.18,95.62,105.52,81.3,47.26,95.11,97.01,126.25,94.69,99.57,105.01,80.7,108.49,93.49,92.23,91.81,84.1,90.56,,28,965,37,26.9,965C3-(E1);
13.07.22 11:10:11,39.8,111.2,111.46,86.84,93.55,114.49,102.43,129.22,95.89,105.03,80.91,46.82,94.84,96.23,125.58,94.32,99.86,105.42,80.7,107.89,93.22,92.1,91.41,83.6,90.19,,28,965,37,26.83,965C3-(E1);
13.07.22 11:10:26,40.05,111.35,110.76,86.57,93.15,114.2,102.02,128.89,95.89,105.03,80.52,46.71,94.97,96.23,125.58,93.94,99.29,104.6,80.43,107.6,93.36,92.1,91.41,82.96,90.44,,28,965,37,26.8,965C3-(E1);
13.07.22 11:10:41,40.3,111.2,110.47,86.29,93.15,113.91,101.62,128.41,95.89,104.87,80.13,46.26,94.84,96.1,125.07,93.57,99.43,103.38,80.43,107.3,93.09,92.1,91.54,82.08,90.19,,28,965,37,26.76,965C3-(E1);
13.07.22 11:10:56,40.55,110.91,109.49,86.02,93.01,113.62,101.08,127.93,95.48,104.71,79.74,45.93,94.84,95.72,125.41,93.32,99.15,102.7,80.16,106.42,92.96,91.97,91.54,81.45,90.07,,28,965,37,26.72,965C3-(E1);
13.07.22 11:11:11,40.8,110.76,108.66,86.16,93.15,113.33,100.81,127.77,95.35,104.38,79.48,45.82,94.7,95.46,125.07,93.19,99.01,103.11,80.03,106.12,93.09,91.97,91.41,80.7,90.19,,28,965,37,26.68,965C3-(E1);
13.07.22 11:11:26,41.05,110.47,108.1,85.88,92.62,112.75,100.4,126.97,95.21,104.05,78.96,45.49,94.03,95.2,124.57,93.07,98.72,102.29,79.63,105.09,92.83,91.16,90.88,79.83,89.57,,28,965,37,26.65,965C3-(E1);
13.07.22 11:11:41,41.3,110.47,107.68,85.75,93.15,112.89,100,126.65,95.35,104.38,79.48,45.27,94.43,95.2,124.07,92.7,99.01,102.16,79.49,105.39,92.7,91.56,91.28,79.7,89.94,,28,965,37,26.6,965C3-(E1);
13.07.22 11:11:56,41.55,110.18,107.4,85.61,92.75,112.02,99.6,125.85,95.08,103.73,79.09,45.05,94.3,94.82,124.07,92.57,98.72,101.89,79.36,105.09,92.31,91.29,90.88,79.21,89.82,,28,965,37,26.55,965C3-(E1);
13.07.22 11:12:11,41.8,109.89,106.57,85.34,92.62,111.74,99.33,124.74,95.08,103.4,79.22,44.72,94.03,94.43,123.23,92.2,98.58,101.62,79.09,104.65,92.57,91.7,90.75,78.96,89.57,,28,965,37,26.51,965C3-(E1);
13.07.22 11:12:26,42.05,109.74,106.71,85.34,92.35,111.3,98.93,124.42,94.8,103.24,78.57,44.39,93.76,94.43,123.23,92.08,98.58,100.67,79.23,104.21,92.57,91.16,90.49,78.71,89.82,,28,965,37,26.47,965C3-(E1);
13.07.22 11:12:41,42.3,109.74,106.57,85.07,92.48,111.16,98.79,124.11,95.08,103.24,78.57,44.17,94.03,94.56,122.9,91.71,98.72,100.67,79.09,104.21,92.44,91.29,90.62,78.71,89.45,,28,965,37,26.43,965C3-(E1);
13.07.22 11:12:56,42.55,109.3,106.02,84.79,92.09,110.15,98.26,123.47,94.4,102.75,78.19,43.73,93.63,94.18,122.56,91.83,98.16,100.27,78.56,103.19,92.18,91.16,90.62,78.21,89.2,,28,965,37,26.4,965C3-(E1);
13.07.22 11:13:11,42.8,109.3,105.33,84.66,92.22,109.72,97.86,123.16,94.53,102.75,78.06,43.51,93.63,93.79,122.73,91.83,98.16,99.87,78.29,102.9,92.18,91.03,90.36,78.09,88.83,,28,965,37,26.35,965C3-(E1);
13.07.22 11:13:26,43.05,109.01,104.91,84.52,92.09,109.44,97.73,122.68,94.13,102.43,78.19,43.29,93.49,93.67,122.23,91.34,98.3,99.06,78.42,102.17,92.18,91.16,90.36,78.09,89.2,,28,965,37,26.32,965C3-(E1);
13.07.22 11:13:41,43.3,108.72,104.36,84.39,91.82,109.15,97.46,122.37,94.26,102.1,77.67,42.96,93.49,93.54,121.9,91.21,97.88,98.79,77.89,101.74,91.78,90.89,89.96,77.97,89.2,,28,965,37,26.28,965C3-(E1);
13.07.22 11:13:56,43.55,108.58,104.23,84.25,91.82,108.58,96.93,122.05,93.99,101.78,77.93,42.96,93.09,93.28,121.57,90.84,97.73,98.93,77.62,101.16,91.78,90.76,89.96,77.72,88.96,,28,965,37,26.24,965C3-(E1);
13.07.22 11:14:11,43.8,108.58,103.4,83.98,91.69,108.44,96.66,122.05,93.99,101.62,77.8,42.63,92.96,93.16,121.23,90.72,97.73,98.53,77.89,100.58,91.78,90.76,90.09,77.59,88.71,,28,965,37,26.19,965C3-(E1);
13.07.22 11:14:26,44.05,108,103.13,83.98,91.56,108.29,96,121.42,93.86,101.29,77.8,42.08,93.09,92.9,120.9,90.35,97.59,98.13,77.49,100.29,91.39,90.49,89.7,76.85,88.47,,28,965,37,26.15,965C3-(E1);
13.07.22 11:14:41,44.3,107.85,102.99,83.71,91.56,108.29,95.6,121.58,93.86,101.29,77.93,42.08,92.96,92.65,120.74,89.98,97.59,98.13,77.09,100.29,91.65,90.49,89.96,76.36,88.83,,28,965,37,26.11,965C3-(E1);
13.07.22 11:14:56,44.55,108.14,102.58,83.84,91.69,108.01,95.34,121.27,93.99,101.29,78.06,42.08,92.82,93.03,120.41,89.74,97.59,98.26,77.49,100,91.52,90.63,89.83,76.24,88.83,,28,965,37,26.08,965C3-(E1);
13.07.22 11:15:11,44.8,107.71,102.17,83.44,91.43,107.44,95.08,121.11,93.59,100.97,77.8,41.87,92.82,92.39,120.07,89.61,97.31,96.93,77.09,99.57,91,90.22,89.7,76.11,88.59,,28,965,37,26.04,965C3-(E1);
13.07.22 11:15:26,45.05,107.56,101.63,83.17,91.29,107.16,95.21,120.64,93.32,100.65,77.16,41.65,92.82,92.39,119.74,89.25,97.31,96.4,76.96,99.28,91.13,90.09,89.57,75.75,88.47,,28,965,37,26,965C3-(E1);
13.07.22 11:15:41,45.3,107.42,101.22,82.89,91.16,107.16,94.81,120.17,93.32,100.32,77.41,41.1,92.29,92.26,119.74,89,97.03,96.4,76.69,98.42,91,89.96,89.57,75.75,88.22,,28,965,37,25.96,965C3-(E1);
13.07.22 11:15:56,45.55,107.56,101.08,82.76,91.03,107.16,94.42,120.48,93.18,100.16,76.77,41.1,92.56,92.52,119.41,88.88,96.61,96.66,76.56,97.84,90.61,89.96,89.44,75.62,88.1,,28,965,37,25.9,965C3-(E1);
13.07.22 11:16:11,45.8,107.56,100.81,82.76,90.77,106.87,94.29,120.01,93.18,100,76.64,40.67,92.16,92.14,119.08,89.37,96.61,96.93,76.3,97.99,90.87,89.96,89.3,75.26,88.22,,28,965,37,25.89,965C3-(E1);
13.07.22 11:16:26,46.05,107.42,100.41,82.62,90.9,106.73,94.29,120.17,93.05,99.68,76.52,40.67,92.42,92.26,119.25,89.12,96.75,96.4,76.16,97.7,90.74,89.82,89.17,75.01,88.1,,28,965,37,25.83,965C3-(E1);
13.07.22 11:16:41,46.3,106.99,99.73,82.35,90.5,106.3,94.02,119.7,92.91,99.52,76.26,40.45,92.02,92.01,118.75,89,96.47,94.68,75.77,97.56,90.61,89.69,89.17,74.28,87.85,,28,965,37,25.79,965C3-(E1);
13.07.22 11:16:56,46.55,106.84,99.86,82.22,90.37,106.3,93.76,120.01,92.64,99.52,76.39,40.24,92.16,92.26,118.59,88.51,96.47,94.94,75.77,96.7,90.22,89.56,88.91,73.79,87.73,,28,965,37,25.76,965C3-(E1);
13.07.22 11:17:11,46.8,106.55,99.59,81.95,90.5,106.3,93.63,119.54,92.64,99.03,76.39,39.91,91.76,91.88,118.26,88.51,96.33,94.55,75.63,96.41,90.48,89.29,88.78,73.91,87.73,,28,965,37,25.72,965C3-(E1);
13.07.22 11:17:26,47.05,106.12,99.32,81.95,90.5,106.16,93.76,118.92,92.64,98.87,76.26,39.91,91.89,91.88,118.26,88.27,96.19,94.42,75.11,96.27,90.09,89.29,88.91,73.67,87.49,,28,965,37,25.68,965C3-(E1);
13.07.22 11:17:41,47.3,105.55,98.92,81.68,90.11,106.02,93.11,119.54,92.51,98.87,75.62,39.8,91.62,92.26,117.93,88.02,96.05,93.76,75.11,95.84,90.35,89.16,88.78,73.79,87.73,,28,965,37,25.65,965C3-(E1);
13.07.22 11:17:56,47.55,105.26,98.52,81.41,89.85,106.02,92.84,119.07,92.38,98.55,75.11,39.48,91.36,92.26,117.6,87.9,96.05,93.63,74.84,95.27,90.09,89.16,88.52,73.54,87.24,,28,965,37,25.59,965C3-(E1);
13.07.22 11:18:11,47.8,105.83,98.52,81.41,90.37,105.6,92.58,119.07,92.38,98.55,74.98,39.59,91.49,92.14,117.6,87.9,95.91,94.42,74.84,95.27,89.96,89.03,88.78,73.18,87.49,,28,965,37,25.55,965C3-(E1);
