"SampleID","TA","Mass","Salinity","Date"
"Junk2",2056.68936161133,60.095,35,"20230531"
"1_H_Sq1_20220712",2214.67122235467,60.102,35.28,"20230531"
"2_H_Sq1_20220712",2216.73676161125,59.838,35.28,"20230531"
"1_H_Sq1_20220716",2232.4856388059,59.817,34.92,"20230531"
"2_H_Sq1_20220716",2233.58777261488,60.357,34.92,"20230531"
"1_C_Sq3_20220714",2175.99043448094,59.86,34.81,"20230531"
"2_C_Sq3_20220714",2119.63471801819,60.389,34.81,"20230531"
"1_M_Sq1_20220708",2182.04601042714,60.116,35.09,"20230531"
"2_M_Sq1_20220708",2181.90029811643,60.488,35.09,"20230531"
