SampleID,Weight,Salinity
Junk6,59.958,35
1_C_Sq2_20220714,60.21,35.18
2_C_Sq2_20220714,60.408,35.18
1_C_Sq3_20220708,59.935,35.17
2_C_Sq3_20220708,60.133,35.17
1_H_Sq3_20220701,60.521,35.28
2_H_Sq3_20220701,59.582,35.28
1_H_Sq1_20220710,60.085,35.58
2_H_Sq1_20220710,59.719,35.58
