"SampleID","TA","Mass","Salinity","Date"
"Junk4",2070.10144622523,59.726,35,"20230531"
"1_H_Sq1_20220714",2217.30710916781,60.144,35.27,"20230531"
"2_H_Sq1_20220714",2219.93633319572,60.331,35.27,"20230531"
"1_H_Sq1_20220706",2192.75353455299,60.15,34.98,"20230531"
"2_H_Sq1_20220706",2195.20032356554,60.204,34.98,"20230531"
"1_M_Sq2_20220716",2194.87402930431,60.17,35.05,"20230531"
"2_M_Sq2_20220716",2195.21580939634,59.688,35.05,"20230531"
"1_C_Sq3_20220629",2176.38359567015,60.458,35.49,"20230531"
"2_C_Sq3_20220629",2186.44171441334,60.484,35.49,"20230531"
