"","Treatment","Salinity_mean","Salinity_std_err","Temperature_mean","Temperature_std_err","pH.Total_mean","pH.Total_std_err","CO2_mean","CO2_std_err","pCO2_mean","pCO2_std_err","HCO3_mean","HCO3_std_err","CO3_mean","CO3_std_err","DIC_mean","DIC_std_err","TA_mean","TA_std_err","AragSat_mean","AragSat_std_err"
"1","Control",35.0229032258065,0.0544102171548316,27.358064516129,0.0550218321377367,7.89031745219363,0.00556223673296127,15.4493909488417,0.233244027486514,578.657732178452,8.81322469756956,1778.71176630037,4.3253957996548,163.202415530389,1.68019513808481,1957.3635727796,3.05661618434977,2182.82730335484,1.60595843371192,2.61965672341974,0.0270747352134694
"2","Mid",34.971,0.0682479421608841,29.0033333333333,0.0588165535642822,7.71342142337916,0.00695359429068095,23.8833076445352,0.433726990518819,929.852274467898,16.8400986772953,1881.94214132689,4.36150550557839,121.938863634102,1.65110150697933,2027.76431260552,3.29634542750092,2182.94731196667,1.68081477777743,1.97527692602405,0.0270271034067728
"3","High",35.042962962963,0.0669732582913364,30.9185185185185,0.0611003184806274,7.50549120027568,0.00729069802436967,39.179606157697,0.693739189771726,1594.48085723692,28.4469617204369,1980.20437321023,3.33250738590372,85.345368769763,1.38502988812827,2104.72934813769,2.86736022627231,2190.15494107407,2.1576682385772,1.3966455068343,0.022285298062347
