"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g25815.t3",2518,3328,2333,2330,3336,2533,3096,3023,3076,2967,1198
"Pocillopora_acuta_HIv2___RNAseq.g4711.t1",311,387,763,790,624,459,432,460,430,435,309
"Pocillopora_acuta_HIv2___RNAseq.g7070.t1",79,110,92,107,105,151,142,79,186,94,62
"Pocillopora_acuta_HIv2___RNAseq.g15255.t1",293,377,406,270,428,213,414,401,380,329,117
"Pocillopora_acuta_HIv2___RNAseq.g23927.t1",165,112,174,157,156,153,147,151,113,154,52
"Pocillopora_acuta_HIv2___RNAseq.g7217.t1",22,18,8,12,18,15,13,10,17,21,10
"Pocillopora_acuta_HIv2___TS.g10887.t1",27,39,40,28,53,17,60,63,69,64,24
"Pocillopora_acuta_HIv2___RNAseq.g24892.t1",846,865,726,775,738,671,703,716,853,586,345
"Pocillopora_acuta_HIv2___RNAseq.g4770.t1",3156,2287,9498,7374,4016,5335,4376,2362,4637,5222,1021
"Pocillopora_acuta_HIv2___RNAseq.g30836.t1",108,31,60,41,123,54,87,72,133,91,41
"Pocillopora_acuta_HIv2___RNAseq.g28850.t1",236,198,550,345,304,251,276,147,217,338,80
"Pocillopora_acuta_HIv2___TS.g1166.t1",264,215,59,136,287,183,212,244,221,333,97
"Pocillopora_acuta_HIv2___RNAseq.g19861.t1",1265,1442,1194,1354,1437,1497,1250,1325,1470,1339,238
"Pocillopora_acuta_HIv2___RNAseq.g18020.t1",0,13,28,30,6,16,9,7,14,5,11
"Pocillopora_acuta_HIv2___TS.g28074.t1",6,10,23,19,7,22,24,12,15,43,14
"Pocillopora_acuta_HIv2___RNAseq.g8911.t1",239,383,169,153,373,221,216,315,314,356,250
"Pocillopora_acuta_HIv2___RNAseq.g10537.t1",219,153,148,140,158,189,177,171,223,204,44
"Pocillopora_acuta_HIv2___TS.g31509.t1",430,290,581,583,613,452,393,424,410,402,263
"Pocillopora_acuta_HIv2___RNAseq.g17108.t1",98,39,40,40,39,33,28,24,167,44,49
"Pocillopora_acuta_HIv2___RNAseq.g27786.t1",309,264,242,213,266,177,348,193,358,249,151
"Pocillopora_acuta_HIv2___RNAseq.g15804.t1",355,411,561,384,443,314,369,392,385,346,128
"Pocillopora_acuta_HIv2___RNAseq.g1078.t1",2159,1767,1899,2089,2011,1730,2110,1759,2383,2157,1121
"Pocillopora_acuta_HIv2___RNAseq.g22972.t1",68,40,80,110,39,49,79,30,59,75,20
"Pocillopora_acuta_HIv2___RNAseq.g7072.t1",457,683,139,113,585,241,449,296,489,429,197
"Pocillopora_acuta_HIv2___RNAseq.g15257.t1",893,435,128,245,154,342,208,255,379,315,306
"Pocillopora_acuta_HIv2___RNAseq.g25817.t1",46,51,20,23,26,81,48,74,42,66,43
"Pocillopora_acuta_HIv2___RNAseq.g13155.t1",2071,3064,2409,2361,2792,3079,2735,2786,2867,2510,837
"Pocillopora_acuta_HIv2___RNAseq.g11092.t1",50,92,79,59,103,53,95,66,67,63,20
"Pocillopora_acuta_HIv2___RNAseq.g22283.t1",2535,2827,2564,2014,2976,2285,3288,2752,2473,2781,392
"Pocillopora_acuta_HIv2___RNAseq.g18022.t1",369,215,35,35,293,166,1030,190,296,494,86
"Pocillopora_acuta_HIv2___RNAseq.g6132.t1",2499,1731,2111,1987,1850,1538,1651,1514,2649,1524,1374
"Pocillopora_acuta_HIv2___RNAseq.g4791.t1",11,7,13,10,22,19,29,12,19,14,13
"Pocillopora_acuta_HIv2___RNAseq.g10956.t1",433,411,21,111,495,219,570,560,514,515,122
"Pocillopora_acuta_HIv2___RNAseq.g10491.t1",127,135,305,366,189,155,235,108,182,198,36
"Pocillopora_acuta_HIv2___RNAseq.g6347.t1",54,54,7,0,28,19,43,64,52,46,15
"Pocillopora_acuta_HIv2___RNAseq.g24699.t1",368,455,452,561,398,422,351,416,301,345,381
"Pocillopora_acuta_HIv2___RNAseq.g15806.t1",44,55,39,62,64,38,89,50,91,47,58
"Pocillopora_acuta_HIv2___RNAseq.g16435.t1",1379,1831,854,1015,1572,959,1347,1269,850,1108,515
"Pocillopora_acuta_HIv2___RNAseq.g21252.t1",453,572,519,423,508,396,371,450,723,388,325
"Pocillopora_acuta_HIv2___RNAseq.g28471.t1",90,70,87,107,50,68,53,77,101,60,65
"Pocillopora_acuta_HIv2___RNAseq.g6215.t1",91,56,84,48,111,92,101,77,61,65,7
"Pocillopora_acuta_HIv2___RNAseq.g29686.t2",1002,2381,1732,1218,2409,1281,1933,1704,1359,1556,395
"Pocillopora_acuta_HIv2___TS.g17100.t1",53,176,42,47,99,108,57,122,103,68,25
"Pocillopora_acuta_HIv2___RNAseq.g10493.t1",38,38,73,64,64,31,44,10,65,50,11
"Pocillopora_acuta_HIv2___RNAseq.g27542.t1",148,235,235,114,221,136,245,187,133,116,67
"Pocillopora_acuta_HIv2___RNAseq.g16192.t1b",236,221,234,139,245,159,236,193,256,228,49
"Pocillopora_acuta_HIv2___RNAseq.g11012.t1",21,25,22,21,40,18,39,0,50,33,0
"Pocillopora_acuta_HIv2___TS.g3931.t1b",79,27,91,41,79,84,75,36,103,56,49
"Pocillopora_acuta_HIv2___RNAseq.g17851.t1",180,166,1911,1106,325,508,1045,175,225,561,33
"Pocillopora_acuta_HIv2___RNAseq.g16054.t1",1760,2717,795,535,2285,1047,2127,1591,1949,1318,715
"Pocillopora_acuta_HIv2___TS.g30828.t1",22,34,740,300,156,358,119,313,60,29,148
"Pocillopora_acuta_HIv2___RNAseq.g20011.t1",93,116,115,102,105,83,83,103,115,53,46
"Pocillopora_acuta_HIv2___RNAseq.g11543.t1",1489,2020,4672,3850,2177,2018,2833,1427,2036,1824,1331
"Pocillopora_acuta_HIv2___RNAseq.g17580.t1",682,781,2479,2026,883,965,886,625,791,863,445
"Pocillopora_acuta_HIv2___RNAseq.g16844.t1",647,839,1039,648,1030,460,955,722,737,561,257
"Pocillopora_acuta_HIv2___RNAseq.g28639.t1",646,332,607,699,577,408,422,453,661,431,467
"Pocillopora_acuta_HIv2___RNAseq.g9838.t1",802,686,1079,1023,809,867,996,816,1022,909,510
