"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g7984.t1",1062,1129,3817,2772,1663,1071,1423,1260,985,1171,456
"Pocillopora_acuta_HIv2___RNAseq.g2005.t1",165,146,71,93,203,105,245,194,147,236,18
"Pocillopora_acuta_HIv2___RNAseq.g21953.t1",1507,1426,1531,1602,1592,1541,1515,1763,1703,1694,1056
"Pocillopora_acuta_HIv2___RNAseq.g4074.t1",689,829,979,761,947,643,940,808,725,781,779
"Pocillopora_acuta_HIv2___RNAseq.g16574.t1",82,142,170,85,145,137,82,126,101,98,316
"Pocillopora_acuta_HIv2___RNAseq.g18402.t1",426,573,631,663,529,507,511,454,382,463,781
"Pocillopora_acuta_HIv2___RNAseq.g28263.t1",1614,1695,2235,2090,1896,1767,1764,1805,1967,1451,757
"Pocillopora_acuta_HIv2___TS.g22092.t2",1167,1017,972,859,1085,879,1174,939,1171,1015,407
"Pocillopora_acuta_HIv2___RNAseq.g4245.t1",221,247,299,327,250,278,286,214,224,234,197
"Pocillopora_acuta_HIv2___TS.g11181.t1",837,726,1135,907,1077,744,1289,730,990,825,189
"Pocillopora_acuta_HIv2___RNAseq.g2195.t1",822,864,412,499,787,417,804,688,664,607,303
"Pocillopora_acuta_HIv2___RNAseq.g16237.t1",612,665,1309,1179,522,568,515,561,542,594,334
"Pocillopora_acuta_HIv2___RNAseq.g20876.t1",594,719,151,420,326,650,273,583,252,662,134
"Pocillopora_acuta_HIv2___RNAseq.g16937.t1",216,249,570,351,291,223,374,226,206,233,68
"Pocillopora_acuta_HIv2___TS.g7440.t2",1562,1885,1805,1593,1749,1772,1802,1636,2009,1593,536
"Pocillopora_acuta_HIv2___RNAseq.g4969.t1",207,172,75,100,143,137,172,164,186,146,135
"Pocillopora_acuta_HIv2___RNAseq.g90.t1",35,16,20,16,43,15,18,13,15,15,11
"Pocillopora_acuta_HIv2___TS.g13094.t1",178,144,94,55,160,68,160,142,106,142,131
"Pocillopora_acuta_HIv2___RNAseq.g780.t1",860,913,1709,1387,1060,1030,1064,886,1181,889,333
"Pocillopora_acuta_HIv2___RNAseq.g10831.t1",26,13,19,27,27,0,13,0,16,13,19
"Pocillopora_acuta_HIv2___RNAseq.g12009.t1",71,124,109,52,79,96,59,100,106,78,13
"Pocillopora_acuta_HIv2___RNAseq.g2907.t1",56,125,41,63,111,75,84,95,55,83,22
"Pocillopora_acuta_HIv2___RNAseq.g28177.t1",74,64,28,43,93,40,63,78,51,60,32
"Pocillopora_acuta_HIv2___RNAseq.g2197.t1",157,140,4,16,180,58,152,71,134,146,25
"Pocillopora_acuta_HIv2___RNAseq.g9756.t1",4823,6072,16485,23161,9223,12048,10132,5525,4553,6495,3365
"Pocillopora_acuta_HIv2___TS.g17819.t1",138,54,140,180,145,160,131,116,153,108,34
"Pocillopora_acuta_HIv2___RNAseq.g1502.t1",345,376,224,266,401,240,375,301,348,239,121
"Pocillopora_acuta_HIv2___RNAseq.g18176.t2",46,36,76,62,46,28,62,44,24,68,17
"Pocillopora_acuta_HIv2___RNAseq.g5569.t1",207,127,475,374,144,279,264,185,197,297,58
"Pocillopora_acuta_HIv2___RNAseq.g5554.t1",5221,3801,5868,3977,3911,3961,4703,3115,6404,3591,3508
"Pocillopora_acuta_HIv2___RNAseq.g3968.t1",26,17,40,32,26,16,61,26,14,22,17
"Pocillopora_acuta_HIv2___RNAseq.g14676.t1",826,1000,662,695,709,904,779,985,945,1159,132
"Pocillopora_acuta_HIv2___TS.g23190.t1",138,199,248,209,206,169,192,196,177,200,50
"Pocillopora_acuta_HIv2___TS.g29833.t1",7,20,60,57,20,25,46,19,13,25,8
"Pocillopora_acuta_HIv2___RNAseq.g15843.t1",1466,1473,1648,1583,1658,1566,1551,1460,1442,1360,636
"Pocillopora_acuta_HIv2___RNAseq.5685_t",460,337,348,394,319,306,411,435,414,299,161
"Pocillopora_acuta_HIv2___RNAseq.g9596.t1",141,188,202,208,202,197,176,195,114,182,19
"Pocillopora_acuta_HIv2___RNAseq.g9728.t1",327,418,456,397,406,325,477,382,255,476,97
"Pocillopora_acuta_HIv2___RNAseq.g28934.t1",32,41,0,11,27,26,35,43,35,15,0
"Pocillopora_acuta_HIv2___RNAseq.g9754.t1",10665,9827,10976,10418,12402,10382,9489,11380,12205,9381,4267
"Pocillopora_acuta_HIv2___RNAseq.g29478.t1",2025,2419,2580,2602,2292,2076,2175,2264,2164,2031,1185
"Pocillopora_acuta_HIv2___TS.g13689.t1",475,393,399,513,607,289,406,477,431,480,190
"Pocillopora_acuta_HIv2___RNAseq.g12226.t1",375,665,536,440,592,557,545,466,441,527,146
"Pocillopora_acuta_HIv2___RNAseq.g31321.t1",21,30,26,23,0,25,16,20,18,27,10
"Pocillopora_acuta_HIv2___RNAseq.g12798.t1",838,928,663,667,1210,659,1118,948,894,915,192
"Pocillopora_acuta_HIv2___TS.g20776.t1",359,493,416,455,455,509,592,401,329,486,179
"Pocillopora_acuta_HIv2___RNAseq.g18397.t1",1051,1158,255,476,1551,914,979,1188,1313,718,404
"Pocillopora_acuta_HIv2___RNAseq.g24820.t1",44,40,29,14,42,19,24,18,43,43,6
"Pocillopora_acuta_HIv2___RNAseq.g21230.t1",2242,2446,2706,2425,2220,2350,1566,2215,2432,1924,1353
"Pocillopora_acuta_HIv2___RNAseq.g13974.t1",26,28,2133,1763,101,602,296,23,49,466,13
"Pocillopora_acuta_HIv2___RNAseq.g12443.t1",283,352,283,233,373,200,508,376,227,342,71
"Pocillopora_acuta_HIv2___RNAseq.g1726.t1",1280,1353,1283,1225,1325,1256,1421,1351,1391,1358,605
"Pocillopora_acuta_HIv2___RNAseq.g18986.t1",70,47,11,19,67,35,89,52,66,68,33
"Pocillopora_acuta_HIv2___RNAseq.g27857.t1",1103,1357,2018,1859,1734,1241,1126,1414,1210,1096,556
"Pocillopora_acuta_HIv2___RNAseq.g30741.t1",9,12,816,522,29,152,160,25,11,103,9
"Pocillopora_acuta_HIv2___RNAseq.g4396.t1",60,90,82,95,52,130,122,53,99,124,17
"Pocillopora_acuta_HIv2___RNAseq.g20980.t1",7,17,11,11,10,24,7,8,22,4,30
"Pocillopora_acuta_HIv2___TS.g11225.t1",24,10,4,8,69,13,40,15,10,22,0
"Pocillopora_acuta_HIv2___RNAseq.g28652.t1",1098,1792,11,40,1851,428,1763,1070,1153,1317,353
"Pocillopora_acuta_HIv2___RNAseq.g22800.t1",246,273,71,126,322,184,400,257,224,528,37
"Pocillopora_acuta_HIv2___RNAseq.g15179.t2",339,426,428,293,395,343,452,272,539,366,319
"Pocillopora_acuta_HIv2___TS.g7184.t1",22,15,29,18,16,17,18,8,19,13,0
"Pocillopora_acuta_HIv2___RNAseq.g8044.t1",2997,4107,3169,2951,2885,3450,2949,3782,3832,3021,1508
"Pocillopora_acuta_HIv2___RNAseq.g3737.t1",102,105,224,225,108,179,118,122,121,150,49
"Pocillopora_acuta_HIv2___TS.g17423.t1",203,187,193,239,204,193,197,181,187,187,102
"Pocillopora_acuta_HIv2___RNAseq.g20596.t1",314,296,475,421,329,344,311,394,344,359,149
"Pocillopora_acuta_HIv2___RNAseq.g2290.t1",372,327,367,486,368,337,472,384,301,324,105
"Pocillopora_acuta_HIv2___RNAseq.g3735.t1",299,414,355,328,468,260,343,448,265,349,78
"Pocillopora_acuta_HIv2___RNAseq.g29395.t1",7722,9497,14896,13640,10435,8776,9887,8011,7569,9209,6157
"Pocillopora_acuta_HIv2___RNAseq.g27887.t1",38,48,75,106,36,54,45,36,16,59,19
"Pocillopora_acuta_HIv2___TS.g3053.t1",20,40,60,30,86,20,84,13,28,22,13
"Pocillopora_acuta_HIv2___RNAseq.g12923.t1",79,54,31,19,28,125,54,80,56,134,22
"Pocillopora_acuta_HIv2___RNAseq.g2524.t1",908,1651,1420,1301,1220,1510,1092,1231,906,1028,581
"Pocillopora_acuta_HIv2___RNAseq.g21877.t1",3381,4025,2287,3446,3057,3149,3242,4055,3268,2708,1846
"Pocillopora_acuta_HIv2___RNAseq.g15161.t1",295,414,754,523,524,310,391,332,403,325,147
"Pocillopora_acuta_HIv2___RNAseq.g21812.t1",22,6,40,17,25,0,20,12,12,17,18
"Pocillopora_acuta_HIv2___RNAseq.g2526.t1",58,119,60,62,93,34,97,55,57,91,20
"Pocillopora_acuta_HIv2___RNAseq.g18028.t1",1163,986,351,340,1390,489,1087,559,1043,677,400
"Pocillopora_acuta_HIv2___RNAseq.g5379.t1",854,1069,68,169,1447,490,975,864,1308,1153,212
"Pocillopora_acuta_HIv2___RNAseq.g21923.t1b",227,201,130,212,199,275,131,232,267,191,79
"Pocillopora_acuta_HIv2___RNAseq.g20594.t1",979,1403,913,1049,1308,1306,1215,1213,1089,1047,388
"Pocillopora_acuta_HIv2___RNAseq.g10568.t1",80,78,52,140,92,83,79,89,77,85,75
"Pocillopora_acuta_HIv2___RNAseq.g17157.t1",801,1075,921,732,877,1073,821,671,1189,962,92
"Pocillopora_acuta_HIv2___TS.g18085.t2",461,574,614,436,679,412,551,403,578,438,174
"Pocillopora_acuta_HIv2___RNAseq.g23763.t1",36,19,0,8,17,14,6,21,60,4,8
"Pocillopora_acuta_HIv2___RNAseq.g29432.t1",405,601,469,320,541,411,452,333,535,366,256
"Pocillopora_acuta_HIv2___TS.g26755.t1a",9,44,6,6,77,29,68,52,18,36,18
"Pocillopora_acuta_HIv2___RNAseq.g1555.t1",29,39,75,47,42,45,24,39,42,10,40
"Pocillopora_acuta_HIv2___TS.g12164.t1",190,143,131,73,168,133,148,165,203,115,43
"Pocillopora_acuta_HIv2___RNAseq.g23845.t1",327,316,248,193,388,188,411,186,305,357,372
"Pocillopora_acuta_HIv2___RNAseq.g12773.t1",278,154,217,166,126,165,94,141,351,111,199
"Pocillopora_acuta_HIv2___RNAseq.g7043.t1",847,361,3226,3556,500,950,545,453,1372,501,1015
"Pocillopora_acuta_HIv2___TS.g20782.t2",923,1299,1848,1767,1128,1043,1075,1051,1196,1049,471
"Pocillopora_acuta_HIv2___TS.g30689.t1",2171,2593,3401,2984,2880,2623,2785,2369,2778,2452,920
"Pocillopora_acuta_HIv2___RNAseq.g2764.t1",11,6,26,52,3,65,9,9,0,8,7
"Pocillopora_acuta_HIv2___RNAseq.g25069.t1",911,1164,1170,1236,1040,1318,1079,1247,1093,1122,308
"Pocillopora_acuta_HIv2___RNAseq.g8670.t1",383,185,493,820,70,211,346,82,515,97,99
"Pocillopora_acuta_HIv2___RNAseq.g5538.t1",234,277,202,336,183,340,177,324,215,350,61
"Pocillopora_acuta_HIv2___TS.g21641.t1",572,464,965,1043,589,621,489,628,656,555,516
"Pocillopora_acuta_HIv2___RNAseq.g5892.t1",26,6,36,18,8,15,22,10,21,4,15
"Pocillopora_acuta_HIv2___RNAseq.g23102.t1",4212,4401,4940,4721,4602,5257,4660,4901,5945,4461,2055
"Pocillopora_acuta_HIv2___RNAseq.g16712.t1",622,892,736,635,721,611,595,661,740,598,162
"Pocillopora_acuta_HIv2___RNAseq.g23917.t1",32,12,30,21,27,21,51,36,23,51,10
"Pocillopora_acuta_HIv2___RNAseq.g17252.t1",33,47,50,29,90,32,61,84,41,44,7
"Pocillopora_acuta_HIv2___RNAseq.g5149.t1",1210,1373,1231,1462,1407,909,1309,1044,1789,632,809
"Pocillopora_acuta_HIv2___RNAseq.9133_t",98,78,15,57,72,66,79,72,77,63,81
"Pocillopora_acuta_HIv2___TS.g23121.t2",61746,79683,112501,112487,100957,79766,89948,71574,67677,91029,42425
"Pocillopora_acuta_HIv2___RNAseq.g9954.t1",77,64,66,67,100,47,68,64,54,52,36
"Pocillopora_acuta_HIv2___RNAseq.g1557.t1",114,108,120,78,156,105,106,115,101,66,38
"Pocillopora_acuta_HIv2___TS.g22176.t1",307,196,260,393,267,256,110,166,233,232,1470
"Pocillopora_acuta_HIv2___RNAseq.g28610.t1",246,720,331,257,205,616,380,441,341,413,149
"Pocillopora_acuta_HIv2___RNAseq.g19048.t1",640,1047,299,266,660,688,674,833,546,590,112
"Pocillopora_acuta_HIv2___TS.g15881.t1",159,111,20,19,66,96,108,69,94,166,91
"Pocillopora_acuta_HIv2___RNAseq.g29315.t1",76,228,10,71,217,104,48,215,113,101,40
"Pocillopora_acuta_HIv2___RNAseq.g12844.t1",338,169,224,228,312,247,264,278,286,215,120
"Pocillopora_acuta_HIv2___RNAseq.g788.t1",4942,6437,5371,5265,5157,5971,4589,4649,7015,4995,7925
"Pocillopora_acuta_HIv2___RNAseq.g1710.t1",85,64,83,91,71,52,71,80,55,70,24
"Pocillopora_acuta_HIv2___RNAseq.g6400.t1",12,15,6,4,13,14,7,11,16,9,15
"Pocillopora_acuta_HIv2___TS.g30979.t1",401,513,307,296,495,383,487,392,356,402,130
"Pocillopora_acuta_HIv2___RNAseq.g12846.t1",1302,1793,1418,1231,1743,1364,1547,1078,1326,1246,433
"Pocillopora_acuta_HIv2___RNAseq.g18561.t1",142,39,42,40,39,45,78,39,285,60,222
"Pocillopora_acuta_HIv2___TS.g31598.t2",265,298,555,426,327,289,272,347,578,282,141
"Pocillopora_acuta_HIv2___RNAseq.g18548.t1",46,47,35,36,24,42,30,31,17,41,9
"Pocillopora_acuta_HIv2___RNAseq.g9956.t1",1264,1110,1779,1617,1248,1210,1502,950,1661,1254,790
"Pocillopora_acuta_HIv2___TS.g17421.t1",761,825,838,829,628,763,746,673,722,699,264
"Pocillopora_acuta_HIv2___RNAseq.g28196.t1",7,18,25,37,12,15,40,5,22,30,4
"Pocillopora_acuta_HIv2___RNAseq.g3164.t1",976,1003,1283,1279,1029,821,1007,966,936,847,619
"Pocillopora_acuta_HIv2___RNAseq.g3129.t1",496,471,242,266,696,388,742,360,477,592,269
"Pocillopora_acuta_HIv2___RNAseq.g8046.t1",565,719,415,449,766,669,760,549,791,719,157
"Pocillopora_acuta_HIv2___RNAseq.g3702.t1",240,238,164,148,219,143,329,144,217,242,109
"Pocillopora_acuta_HIv2___RNAseq.g16199.t1",2302,2022,2761,2278,2452,2464,2470,1796,2087,2159,827
"Pocillopora_acuta_HIv2___TS.g27426.t1",265,182,183,146,144,184,138,148,295,208,162
"Pocillopora_acuta_HIv2___RNAseq.g14259.t2",859,1228,672,631,813,1007,826,1014,784,742,271
"Pocillopora_acuta_HIv2___RNAseq.g100.t1",1584,1844,1001,1221,2011,1286,2115,1958,1555,1733,676
"Pocillopora_acuta_HIv2___RNAseq.g5340.t1",166,100,110,124,144,120,282,101,134,180,37
"Pocillopora_acuta_HIv2___TS.g30561.t1a",57357,74423,42436,45507,80446,53421,72623,67199,55318,61875,20851
"Pocillopora_acuta_HIv2___RNAseq.7333_t",71,82,73,92,103,73,181,116,104,118,24
"Pocillopora_acuta_HIv2___TS.g26896.t1",94,104,339,220,104,103,79,58,126,116,28
"Pocillopora_acuta_HIv2___RNAseq.g30380.t1",821,1480,1515,1304,1234,787,1058,1300,970,956,441
"Pocillopora_acuta_HIv2___RNAseq.g8238.t1",15,6,28,17,12,7,12,10,24,13,10
"Pocillopora_acuta_HIv2___TS.g3953.t3",212,238,161,242,212,184,267,250,250,298,32
"Pocillopora_acuta_HIv2___RNAseq.g3941.t1",290,248,853,859,325,573,426,284,307,391,73
"Pocillopora_acuta_HIv2___RNAseq.g1211.t1",1547,1924,2039,1512,2382,945,1776,1550,2121,1271,432
"Pocillopora_acuta_HIv2___RNAseq.g22963.t1",2841,3627,3282,3040,3916,2470,3153,2984,2387,2962,1585
"Pocillopora_acuta_HIv2___RNAseq.g9680.t1",65,4540,67,10,20,989,98,996,58,34,64
"Pocillopora_acuta_HIv2___RNAseq.g6248.t1",22,20,24,29,14,53,18,19,26,41,3
"Pocillopora_acuta_HIv2___RNAseq.g3700.t1",1559,1746,561,623,563,2951,690,1543,1931,850,687
"Pocillopora_acuta_HIv2___RNAseq.g23880.t1",85,22,29,39,18,663,15,456,228,27,67
"Pocillopora_acuta_HIv2___RNAseq.g6328.t1",515,479,459,391,454,592,526,506,647,598,67
"Pocillopora_acuta_HIv2___RNAseq.g29430.t2",430,263,330,342,372,221,317,290,363,262,171
"Pocillopora_acuta_HIv2___RNAseq.g1806.t2",814,1044,831,1080,1018,885,720,786,705,940,1144
"Pocillopora_acuta_HIv2___RNAseq.g23603.t1",1313,1442,1291,974,1203,897,1039,1029,934,1101,254
"Pocillopora_acuta_HIv2___RNAseq.g2799.t1",39,40,56,64,54,33,33,39,40,30,16
"Pocillopora_acuta_HIv2___RNAseq.g19484.t2",1335,374,224,154,113,675,168,231,1274,166,660
"Pocillopora_acuta_HIv2___RNAseq.g9231.t1",481,637,3,15,886,179,555,483,899,574,173
"Pocillopora_acuta_HIv2___RNAseq.g2914.t1",111,72,89,99,83,111,98,139,70,126,26
"Pocillopora_acuta_HIv2___RNAseq.g16975.t1",113,135,115,173,182,176,137,122,135,96,45
"Pocillopora_acuta_HIv2___RNAseq.g28467.t1",18,54,62,45,16,56,31,11,30,36,7
"Pocillopora_acuta_HIv2___RNAseq.g9682.t1",98,136,35,70,64,121,88,85,66,99,23
"Pocillopora_acuta_HIv2___RNAseq.g10007.t1",58,52,28,27,50,19,39,55,60,38,14
"Pocillopora_acuta_HIv2___TS.g6928.t1",36,75,0,0,118,26,78,61,76,62,16
"Pocillopora_acuta_HIv2___TS.g26692.t1",504,501,724,679,386,440,523,383,718,664,117
"Pocillopora_acuta_HIv2___RNAseq.g3826.t1",14232,7958,5191,7505,9912,8753,10121,6535,10318,9237,4560
"Pocillopora_acuta_HIv2___RNAseq.g29886.t2",2695,3211,2693,2941,3643,2998,2868,2691,2637,2485,727
"Pocillopora_acuta_HIv2___RNAseq.g14774.t1",1662,2026,1650,1648,2047,1356,2569,1750,1642,2044,382
"Pocillopora_acuta_HIv2___TS.g11189.t1",482,288,680,564,331,291,552,214,578,348,173
"Pocillopora_acuta_HIv2___RNAseq.g23934.t1",219,415,262,293,263,307,324,301,291,348,33
"Pocillopora_acuta_HIv2___TS.g25768.t1",78,113,129,116,102,74,180,105,104,115,30
"Pocillopora_acuta_HIv2___RNAseq.g7724.t1",355,238,293,358,248,168,249,247,276,235,392
"Pocillopora_acuta_HIv2___RNAseq.g6294.t1",34,39,43,48,41,19,101,58,20,42,0
"Pocillopora_acuta_HIv2___RNAseq.g9334.t1",3904,3926,3157,3056,4132,3289,4286,3107,5369,3668,961
"Pocillopora_acuta_HIv2___TS.g23654.t2a",226,293,242,314,281,252,272,280,286,291,108
"Pocillopora_acuta_HIv2___RNAseq.g21434.t1",424,423,292,240,520,315,398,348,414,401,71
"Pocillopora_acuta_HIv2___RNAseq.g10177.t1",132,112,209,318,155,227,96,84,55,148,25
"Pocillopora_acuta_HIv2___RNAseq.g28465.t1",3961,5739,3665,3794,5405,4771,5194,4987,4511,4192,1337
"Pocillopora_acuta_HIv2___TS.g28426.t1",1143,1594,728,930,1501,1545,1578,1624,1625,1460,286
"Pocillopora_acuta_HIv2___TS.g18753.t1",148,303,222,135,201,143,155,255,196,200,68
"Pocillopora_acuta_HIv2___TS.g27625.t3",938,1015,1299,1037,1259,933,1260,834,1278,842,760
"Pocillopora_acuta_HIv2___TS.g3354.t2",129,177,224,140,129,150,241,101,120,170,47
"Pocillopora_acuta_HIv2___RNAseq.g10175.t1",131,74,12,5,210,50,196,91,245,78,82
"Pocillopora_acuta_HIv2___TS.g5222.t1",204,480,662,405,201,499,559,227,256,184,143
"Pocillopora_acuta_HIv2___RNAseq.g25189.t1",101,385,52,40,71,144,62,109,122,129,20
"Pocillopora_acuta_HIv2___RNAseq.g1898.t2b",1790,1478,3016,3079,2031,1732,1963,1567,2155,1748,6941
"Pocillopora_acuta_HIv2___RNAseq.g3939.t1",584,206,53,120,404,134,283,197,520,135,185
"Pocillopora_acuta_HIv2___RNAseq.g1898.t2a",350,390,335,332,441,420,382,381,514,388,380
"Pocillopora_acuta_HIv2___RNAseq.g24208.t1",65,45,163,159,80,32,96,54,55,73,25
"Pocillopora_acuta_HIv2___RNAseq.g29884.t1",573,426,261,311,533,481,752,478,634,435,154
"Pocillopora_acuta_HIv2___RNAseq.g14776.t1",451,802,169,499,806,743,642,1018,702,800,271
"Pocillopora_acuta_HIv2___TS.g28652.t1",80,109,104,103,85,67,85,107,83,123,70
"Pocillopora_acuta_HIv2___RNAseq.g22538.t1",344,308,468,370,361,267,457,329,310,358,194
"Pocillopora_acuta_HIv2___RNAseq.g13710.t1",87,65,4,15,75,53,80,75,72,72,11
"Pocillopora_acuta_HIv2___RNAseq.3886_t",3190,3515,6077,4239,4165,3800,3716,2846,3934,3084,2145
"Pocillopora_acuta_HIv2___TS.g26039.t2a",277,268,690,637,233,343,416,191,337,315,308
"Pocillopora_acuta_HIv2___TS.g26039.t2b",527,651,557,513,830,530,896,721,592,673,143
"Pocillopora_acuta_HIv2___RNAseq.g19622.t1",104,54,68,83,50,43,61,57,70,49,13
"Pocillopora_acuta_HIv2___RNAseq.g2174.t1",1780,2075,1330,1457,2125,2010,1806,2314,2306,2269,438
"Pocillopora_acuta_HIv2___RNAseq.g4807.t1",15,13,19,17,17,20,78,11,16,15,5
"Pocillopora_acuta_HIv2___RNAseq.g24729.t1",1138,1249,447,565,1407,813,1203,1192,1035,1105,297
"Pocillopora_acuta_HIv2___TS.g8934.t1",2658,7738,703,327,7768,2777,3532,3562,3000,3637,1009
"Pocillopora_acuta_HIv2___RNAseq.g27408.t1",1545,2841,632,740,2567,1065,1862,2531,1387,1520,556
"Pocillopora_acuta_HIv2___RNAseq.g18499.t1",251,148,255,203,278,103,314,293,234,235,78
"Pocillopora_acuta_HIv2___TS.g1175.t1",994,934,956,950,856,914,818,984,1105,928,462
"Pocillopora_acuta_HIv2___RNAseq.g10263.t1",50,99,164,117,73,115,110,60,71,75,90
"Pocillopora_acuta_HIv2___RNAseq.g25510.t1",30,18,29,32,67,40,21,17,25,19,13
"Pocillopora_acuta_HIv2___RNAseq.g20054.t1",119,123,238,188,145,139,98,99,147,130,86
"Pocillopora_acuta_HIv2___RNAseq.g18494.t1",77,80,129,125,87,101,45,59,75,61,21
"Pocillopora_acuta_HIv2___RNAseq.g9567.t1",53,51,226,204,85,137,70,57,59,71,7
"Pocillopora_acuta_HIv2___TS.g15508.t1",565,472,398,280,597,285,841,361,716,650,140
"Pocillopora_acuta_HIv2___TS.g20588.t1",495,375,319,222,451,361,491,451,308,459,172
"Pocillopora_acuta_HIv2___TS.g8936.t1",249,368,235,193,520,143,328,341,317,283,122
"Pocillopora_acuta_HIv2___RNAseq.g26449.t1",1347,1897,1806,1786,2052,1291,1602,1939,1210,1377,848
"Pocillopora_acuta_HIv2___RNAseq.g29555.t2",232,146,222,235,234,163,241,187,207,188,113
"Pocillopora_acuta_HIv2___RNAseq.g25005.t1",1201,1880,12,70,1664,648,1492,1669,1488,1403,423
"Pocillopora_acuta_HIv2___RNAseq.g574.t1",558,472,1905,957,753,647,1031,244,1107,911,147
"Pocillopora_acuta_HIv2___RNAseq.g712.t1",371,299,14,48,272,167,260,494,514,463,210
"Pocillopora_acuta_HIv2___RNAseq.g7917.t1",1040,1125,976,976,1177,1019,1184,1045,1114,1020,322
"Pocillopora_acuta_HIv2___RNAseq.g13146.t1a",156,317,251,242,218,152,158,202,226,193,56
"Pocillopora_acuta_HIv2___RNAseq.g13146.t1b",1362,1898,966,1217,1651,1522,1926,1771,1399,1637,446
"Pocillopora_acuta_HIv2___RNAseq.g12106.t1",475,927,277,428,471,722,378,498,1115,333,369
"Pocillopora_acuta_HIv2___RNAseq.g24211.t1",695,583,679,681,747,636,670,561,813,593,485
"Pocillopora_acuta_HIv2___RNAseq.g4961.t1",348,230,349,301,259,290,326,212,328,330,62
"Pocillopora_acuta_HIv2___RNAseq.g30487.t1",14,18,11,14,12,9,5,17,18,14,18
"Pocillopora_acuta_HIv2___RNAseq.g14253.t1",207,315,5,5,188,84,408,48,272,260,105
"Pocillopora_acuta_HIv2___RNAseq.g14848.t1",1171,956,673,638,1025,831,1503,1017,1069,1303,434
"Pocillopora_acuta_HIv2___RNAseq.g11426.t1",1905,1772,3068,2359,2549,1584,2257,1699,1683,1852,1544
"Pocillopora_acuta_HIv2___RNAseq.g10694.t1",70,30,25,31,24,24,28,29,69,43,31
"Pocillopora_acuta_HIv2___RNAseq.g4476.t1",192,165,209,191,191,222,142,205,167,190,70
"Pocillopora_acuta_HIv2___RNAseq.g806.t1",467,579,485,383,291,464,449,539,633,374,104
"Pocillopora_acuta_HIv2___TS.g14427.t1",219,205,307,183,188,240,263,221,251,256,24
"Pocillopora_acuta_HIv2___RNAseq.g17042.t1",728,851,884,871,825,539,675,750,633,637,293
"Pocillopora_acuta_HIv2___RNAseq.g25324.t1",215,198,185,170,261,264,171,253,273,246,97
"Pocillopora_acuta_HIv2___RNAseq.g6657.t1",455,566,1488,993,817,628,865,569,564,714,239
"Pocillopora_acuta_HIv2___TS.g23937.t1",4812,7725,9893,8646,7912,5531,7155,5807,5126,5566,2487
"Pocillopora_acuta_HIv2___RNAseq.g28240.t1",2073,1584,1840,1455,1808,1500,1644,1383,2338,1780,776
"Pocillopora_acuta_HIv2___RNAseq.g30168.t1a",1912,8742,1850,998,474,8714,744,4641,1963,1351,1317
"Pocillopora_acuta_HIv2___RNAseq.g4855.t1",240,132,100,75,176,182,156,140,243,178,170
"Pocillopora_acuta_HIv2___RNAseq.16683_t",363,567,388,398,490,550,553,597,557,478,185
"Pocillopora_acuta_HIv2___RNAseq.g14367.t1",27,22,40,16,28,24,19,0,18,15,6
"Pocillopora_acuta_HIv2___RNAseq.g4713.t1",37,116,85,76,89,170,31,78,94,40,38
"Pocillopora_acuta_HIv2___RNAseq.g30236.t1",230,358,4,0,330,166,450,340,156,163,75
"Pocillopora_acuta_HIv2___RNAseq.g19553.t1",382,542,388,593,542,628,530,515,361,625,116
"Pocillopora_acuta_HIv2___RNAseq.g804.t1",260,340,225,252,217,305,236,284,271,250,77
"Pocillopora_acuta_HIv2___RNAseq.g13177.t1",1672,1431,2164,2125,1342,1709,1769,1236,1357,1650,272
"Pocillopora_acuta_HIv2___RNAseq.g5371.t1",608,765,1185,1024,728,782,754,709,675,747,437
"Pocillopora_acuta_HIv2___RNAseq.g13411.t1",148,136,151,124,117,115,145,143,111,120,22
"Pocillopora_acuta_HIv2___RNAseq.g22911.t1",40,18,30,9,5,24,12,19,11,25,6
"Pocillopora_acuta_HIv2___RNAseq.g6655.t1",3085,2578,1025,1513,2804,1214,1719,2825,3157,2064,2099
"Pocillopora_acuta_HIv2___TS.g4500.t2",346,370,800,806,411,562,522,205,388,568,235
"Pocillopora_acuta_HIv2___RNAseq.g18009.t1",191,138,115,63,40,280,119,154,231,74,44
"Pocillopora_acuta_HIv2___RNAseq.g9782.t1",2716,2220,619,625,2662,1103,2192,1551,1858,1722,1254
"Pocillopora_acuta_HIv2___RNAseq.g28154.t1",24,41,9,287,123,391,54,229,23,18,20
"Pocillopora_acuta_HIv2___RNAseq.g5898.t1",23,10,0,0,22,18,54,7,22,13,7
"Pocillopora_acuta_HIv2___TS.g16321.t2",16,30,34,122,27,57,19,23,12,29,4
"Pocillopora_acuta_HIv2___TS.g6940.t1",4558,6111,6797,6645,5675,4962,4827,5605,4173,4136,2290
"Pocillopora_acuta_HIv2___RNAseq.g16056.t1",634,554,654,586,663,536,532,613,608,510,388
"Pocillopora_acuta_HIv2___TS.g4502.t1",192,177,327,428,331,226,306,222,164,267,123
"Pocillopora_acuta_HIv2___TS.g31118.t1",1746,2294,2593,2743,2473,2273,2042,2055,2285,1994,915
"Pocillopora_acuta_HIv2___RNAseq.g16264.t2",101,276,280,234,250,156,207,169,191,148,129
"Pocillopora_acuta_HIv2___TS.g29222.t1",74,39,16,22,42,30,45,20,62,66,73
