Date,Calib.Date,Time,tank,squaricle,SampleID,pH,pH_mV,temp,salinity,,
20220625,20220618,10.11,M,2,M_Sq2_20220625,7.62,-55.08548,28.4,36.96,,
20220625,20220618,10:14,M,3,M_Sq3_20220625,7.61,-54.48794,28.3,36.9,,
20220625,20220618,10:20,H,1,H_Sq1_20220625,7.48,-46.71992,30.2,36.96,,
20220625,20220618,10.16,H,2,H_Sq2_20220625,7.48,-46.71992,29.2,36.93,,
20220625,20220618,10:17,H,3,H_Sq3_20220625,7.48,-46.71992,30.2,36.81,,
20220628,20220618,8:28,C,1,C_Sq1_20220628,7.92,-73.01168,26.4,37.11,,
20220628,20220618,8:35,M,1,M_Sq1_20220628,7.62,-55.08548,27.5,37.12,,
20220628,20220618,8:34,M,2,M_Sq2_20220628,7.64,-56.28056,27.6,37.1,,
20220628,20220618,8:37,M,3,M_Sq3_20220628,7.61,-54.48794,27.6,37.11,,
20220628,20220618,8:42,H,1,H_Sq1_20220628,7.48,-46.71992,29.5,37.2,,
20220628,20220618,8:39,H,2,H_Sq2_20220628,7.48,-46.71992,29.5,37.2,,
20220628,20220618,8:41,H,3,H_Sq3_20220628,7.51,-48.51254,29.1,37.15,,
20220628,20220618,14:50,C,1,C_Sq1_20220628,8.03,-79.58462,27.9,37.16,,
20220628,20220618,14:52,C,2,C_Sq2_20220628,8.04,-80.18216,27.7,37.1,,
20220628,20220618,14:53,C,3,C_Sq3_20220628,8.01,-78.38954,27.6,37.18,,
20220628,20220618,14:56,M,1,M_Sq1_20220628,7.81,-66.43874,29.5,36.95,,
20220628,20220618,14:54,M,2,M_Sq2_20220628,7.86,-69.42644,29.5,37.13,,
20220628,20220618,15:01,M,3,M_Sq3_20220628,7.86,-69.42644,28.9,37,,
20220628,20220618,15:08,H,1,H_Sq1_20220628,7.66,-57.47564,31.8,36.97,,
20220628,20220618,15:03,H,2,H_Sq2_20220628,7.64,-56.28056,31.4,37.07,,
20220628,20220618,15:05,H,3,H_Sq3_20220628,7.63,-55.68302,31.4,36.97,,
20220628,20220618,19:50,C,1,C_Sq1_20220628,7.98,-76.59692,25.9,36.98,,
20220628,20220618,19:53,C,2,C_Sq2_20220628,7.94,-74.20676,26.1,37.03,,
20220628,20220618,19:57,C,3,C_Sq3_20220628,7.93,-73.60922,26.3,37.05,,
20220628,20220618,20:00,M,1,M_Sq1_20220628,7.79,-65.24366,27.9,37.05,,
20220628,20220618,20:04,M,2,M_Sq2_20220628,7.75,-62.8535,27.6,37.09,,
20220628,20220618,20:06,M,3,M_Sq3_20220628,7.76,-63.45104,27.8,37.1,,
20220628,20220618,20:09,H,1,H_Sq1_20220628,7.63,-55.68302,29.8,37.07,,
20220628,20220618,20:12,H,2,H_Sq2_20220628,7.61,-54.48794,29.9,37.1,,
20220628,20220618,20:16,H,3,H_Sq3_20220628,7.6,-53.8904,29.6,37.15,,
20220629,20220618,9:10,C,1,C_Sq1_20220629,7.98,-76.59692,25.7,37.09,,
20220629,20220618,9:13,C,2,C_Sq2_20220629,7.99,-77.19446,26,37.09,,
20220629,20220618,9:15,C,3,C_Sq3_20220629,7.96,-75.40184,25.9,37.11,,
20220629,20220618,9:18,M,1,M_Sq1_20220629,7.81,-66.43874,27.5,36.96,,
20220629,20220618,9:20,M,2,M_Sq2_20220629,7.83,-67.63382,27.3,36.93,,
20220629,20220618,9:22,M,3,M_Sq3_20220629,7.8,-65.8412,27.3,36.81,,
20220629,20220618,9:25,H,1,H_Sq1_20220629,7.66,-57.47564,29.4,37.11,,
20220629,20220618,9:29,H,2,H_Sq2_20220629,7.64,-56.28056,29.1,37.12,,
20220629,20220618,9:31,H,3,H_Sq3_20220629,7.65,-56.8781,29.5,37.1,,
20220629,20220618,13:02,C,1,C_Sq1_20220629,8.03,-79.58462,26.9,37.11,,
20220629,20220618,13:04,C,2,C_Sq2_20220629,8.01,-78.38954,27,37.2,,
20220629,20220618,13:07,C,3,C_Sq3_20220629,8.04,-80.18216,26.8,36.95,,
20220629,20220618,13:10,M,1,M_Sq1_20220629,7.81,-66.43874,28.6,36.91,,
20220629,20220618,13:13,M,2,M_Sq2_20220629,7.8,-65.8412,28.4,36.8,,
20220629,20220618,13:15,M,3,M_Sq3_20220629,7.83,-67.63382,28.7,37,,
20220629,20220618,13:17,H,1,H_Sq1_20220629,7.69,-59.26826,30.6,37,,
20220629,20220618,13:20,H,2,H_Sq2_20220629,7.68,-58.67072,30.8,37.05,,
20220629,20220618,13:23,H,3,H_Sq3_20220629,7.66,-57.47564,30.9,37.13,,
20220629,20220618,17:14,C,1,C_Sq1_20220629,8.04,-80.18216,27.1,37,,
20220629,20220618,17:17,C,2,C_Sq2_20220629,8,-77.792,27.3,36.97,,
20220629,20220618,17:21,C,3,C_Sq3_20220629,8.03,-79.58462,27.2,37.05,,
20220629,20220618,17:23,M,1,M_Sq1_20220629,7.85,-68.8289,28.8,37.07,,
20220629,20220618,17:27,M,2,M_Sq2_20220629,7.8,-65.8412,29,36.98,,
20220629,20220618,17:30,M,3,M_Sq3_20220629,7.81,-66.43874,28.7,37.03,,
20220629,20220618,17:33,H,1,H_Sq1_20220629,7.65,-56.8781,30.9,37.05,,
20220629,20220618,17:35,H,2,H_Sq2_20220629,7.67,-58.07318,31.2,37.05,,
20220629,20220618,17:38,H,3,H_Sq3_20220629,7.69,-59.26826,30.7,37.09,,
20220630,20220618,8:50,C,1,C_Sq1_20220630,7.86,-69.42644,26.9,36.95,,
20220630,20220618,8:53,C,2,C_Sq2_20220630,7.88,-70.62152,26.9,37.02,,
20220630,20220618,8:56,C,3,C_Sq3_20220630,7.89,-71.21906,26.8,36.99,,
20220630,20220618,9:01,M,1,M_Sq1_20220630,7.71,-60.46334,28.5,36.98,,
20220630,20220618,9:04,M,2,M_Sq2_20220630,7.74,-62.25596,28.2,36.93,,
20220630,20220618,9:06,M,3,M_Sq3_20220630,7.73,-61.65842,28.3,36.89,,
20220630,20220618,9:11,H,1,H_Sq1_20220630,7.59,-53.29286,30.6,37.05,,
20220630,20220618,9:13,H,2,H_Sq2_20220630,7.58,-52.69532,30.5,37.13,,
20220630,20220618,9:17,H,3,H_Sq3_20220630,7.61,-54.48794,30.4,37,,
20220630,20220618,12:59,C,1,C_Sq1_20220630,7.98,-76.59692,27.5,36.97,,
20220630,20220618,13:03,C,2,C_Sq2_20220630,7.96,-75.40184,27.4,37.05,,
20220630,20220618,13:05,C,3,C_Sq3_20220630,7.99,-77.19446,27.3,37.07,,
20220630,20220618,13:07,M,1,M_Sq1_20220630,7.81,-66.43874,29,37.11,,
20220630,20220618,13:10,M,2,M_Sq2_20220630,7.8,-65.8412,29.1,37.11,,
20220630,20220618,13:13,M,3,M_Sq3_20220630,7.83,-67.63382,28.8,37.15,,
20220630,20220618,13:17,H,1,H_Sq1_20220630,7.67,-58.07318,30.9,37.15,,
20220630,20220618,13:21,H,2,H_Sq2_20220630,7.65,-56.8781,30.8,37.13,,
20220630,20220618,13:24,H,3,H_Sq3_20220630,7.69,-59.26826,30.5,36.99,,
20220630,20220618,17:18,C,1,C_Sq1_20220630,8.01,-78.38954,27.3,37.03,,
20220630,20220618,17:23,C,2,C_Sq2_20220630,7.99,-77.19446,27.2,37.01,,
20220630,20220618,17:25,C,3,C_Sq3_20220630,8.03,-79.58462,27.3,36.93,,
20220630,20220618,17:29,M,1,M_Sq1_20220630,7.82,-67.03628,28.8,37.06,,
20220630,20220618,17:32,M,2,M_Sq2_20220630,7.85,-68.8289,29,37.06,,
20220630,20220618,17:36,M,3,M_Sq3_20220630,7.86,-69.42644,29.2,37.06,,
20220630,20220618,17:41,H,1,H_Sq1_20220630,7.68,-58.67072,31,37.06,,
20220630,20220618,17:43,H,2,H_Sq2_20220630,7.69,-59.26826,30.7,37.03,,
20220630,20220618,17:45,H,3,H_Sq3_20220630,7.7,-59.8658,30.9,37.03,,
20220701,20220618,9:50,C,1,C_Sq1_20220701,7.87,-70.02398,26.8,37.12,,
20220701,20220618,9:48,C,2,C_Sq2_20220701,7.86,-69.42644,26.7,37.13,,
20220701,20220618,9:52,C,3,C_Sq3_20220701,7.89,-71.21906,26.9,37.15,,
20220701,20220618,9:56,M,1,M_Sq1_20220701,7.74,-62.25596,28.7,37.13,,
20220701,20220618,9:57,M,2,M_Sq2_20220701,7.78,-64.64612,28.3,36.89,,
20220701,20220618,9:59,M,3,M_Sq3_20220701,7.73,-61.65842,28.2,37.05,,
20220701,20220618,10:02,H,1,H_Sq1_20220701,7.59,-53.29286,30.5,36.95,,
20220701,20220618,10:04,H,2,H_Sq2_20220701,7.56,-51.50024,30.3,37.02,,
20220701,20220618,10:07,H,3,H_Sq3_20220701,7.58,-52.69532,30.1,36.99,,
20220701,20220618,13:04,C,1,C_Sq1_20220701,8.03,-79.58462,27.9,37.16,,
20220701,20220618,13:02,C,2,C_Sq2_20220701,8.04,-80.18216,27.7,37.1,,
20220701,20220618,13:01,C,3,C_Sq3_20220701,8.01,-78.38954,27.6,37.18,,
20220701,20220618,13:09,M,1,M_Sq1_20220701,7.81,-66.43874,29.5,36.95,,
20220701,20220618,13:11,M,2,M_Sq2_20220701,7.86,-69.42644,29.5,37.13,,
20220701,20220618,13:13,M,3,M_Sq3_20220701,7.86,-69.42644,28.9,37,,
20220701,20220618,13:21,H,1,H_Sq1_20220701,7.66,-57.47564,31.8,36.97,,
20220701,20220618,13:08,H,2,H_Sq2_20220701,7.64,-56.28056,31.4,37.07,,
20220701,20220618,13:16,H,3,H_Sq3_20220701,7.63,-55.68302,31.4,36.97,,
20220701,20220618,17:22,C,1,C_Sq1_20220701,8.02,-78.98708,27.5,37.11,,
20220701,20220618,17:18,C,2,C_Sq2_20220701,7.98,-76.59692,27.3,37.12,,
20220701,20220618,17:19,C,3,C_Sq3_20220701,8,-77.792,27.4,37.13,,
