"SampleID","TA","Mass","Salinity","Date"
"Junk3",2064.09428057203,60.24,35,"20230516"
"1_C_Sq1_20220706",2561.30649141356,50.73,35.2,"20230516"
"2_C_Sq1_20220706",2180.7075178668,59.891,35.2,"20230516"
"1_C_Sq1_20220701",2185.32488528385,60.424,35.36,"20230516"
"2_C_Sq1_20220701",2195.84419289696,60.526,35.36,"20230516"
"1_C_Sq1_20220630",2185.01906507517,60.42,35.28,"20230516"
"2_C_Sq1_20220630",2186.50350243442,59.988,35.28,"20230516"
"1_H_Sq2_20220712",2224.44044907029,59.454,35.34,"20230516"
"2_H_Sq2_20220712",2229.62325921785,59.647,35.34,"20230516"
