"SampleID","TA","Mass","Salinity","Date"
"Junk3",2072.80575895573,60.174,35,"20230601"
"1_M_Sq2_20220708",2200.56900721536,60.17,34.74,"20230601"
"2_M_Sq2_20220708",2204.88030975723,59.505,34.74,"20230601"
"1_C_Sq3_20220706",2184.82369854515,60.387,35.12,"20230601"
"2_C_Sq3_20220706",2189.90990982563,59.619,35.12,"20230601"
"1_C_Sq2_20220710",2195.75599814794,60.208,35.17,"20230601"
"2_C_Sq2_20220710",2195.5546618956,60.288,35.17,"20230601"
"1_M_Sq2_20220630",2199.86742250819,60.077,35.27,"20230601"
"2_M_Sq2_20220630",2196.17364110771,60.1,35.27,"20230601"
