"SampleID","TA","Mass","Salinity","Date"
"Junk2",2060.91082693726,60.442,35,"20230525"
"1_C_Sq2_20220702",2186.15413475538,59.802,34.47,"20230525"
"2_C_Sq2_20220702",2182.70824437044,59.983,34.47,"20230525"
"1_M_Sq3_20220705",2179.17549932804,60.002,34.48,"20230525"
"2_M_Sq3_20220705",2184.68938062927,60.438,34.48,"20230525"
"1_C_Sq3_20220630",2175.77009737496,60.145,34.6,"20230525"
"2_C_Sq3_20220630",2183.08503895997,60.454,34.6,"20230525"
"1_C_Sq2_20220628",2172.02342125269,59.81,34.81,"20230525"
"2_C_Sq2_20220628",2173.48166365184,59.78,34.81,"20230525"
