SampleID,Weight,Salinity
Junk3,59.768,35
1_C_Sq3_20220716,60.128,34.77
2_C_Sq3_20220716,59.915,34.77
1_C_Sq2_20220708,59.966,34.39
2_C_Sq2_20220708,60.458,34.39
1_H_Sq2_20220630,60.263,34.9
2_H_Sq2_20220630,59.911,34.9
1_C_Sq3_20220705,60.066,34.69
2_C_Sq3_20220705,60.435,34.69
