"SampleID","TA","Mass","Salinity","Date"
"Junk3",2057.0131509659,59.768,35,"20230525"
"1_C_Sq3_20220716",2173.73896950178,60.128,34.77,"20230525"
"2_C_Sq3_20220716",2175.93117472783,59.915,34.77,"20230525"
"1_C_Sq2_20220708",2176.20475017947,59.966,34.39,"20230525"
"2_C_Sq2_20220708",2176.84879678529,60.458,34.39,"20230525"
"1_H_Sq2_20220630",2182.12120082966,60.263,34.9,"20230525"
"2_H_Sq2_20220630",2182.58976635704,59.911,34.9,"20230525"
"1_C_Sq3_20220705",2172.00737579051,60.066,34.69,"20230525"
"2_C_Sq3_20220705",2178.63447184525,60.435,34.69,"20230525"
