SampleID,Weight,Salinity
Junk5,59.972,35
1_M_Sq3_20220712,59.975,35.15
2_M_Sq3_20220712,59.83,35.15
1_C_Sq3_20220701,60.106,35.18
2_C_Sq3_20220701,59.866,35.18
1_M_Sq3_20220702,60.387,35.23
2_M_Sq3_20220702,59.675,35.23
1_BT_20230525,59.931,34.464
2_BT_20230525,59.912,34.46
