"SampleID","TA","Mass","Salinity","Date"
"Junk5",2058.92031324761,59.972,35,"20230525"
"1_M_Sq3_20220712",2178.20983004733,59.975,35.15,"20230525"
"2_M_Sq3_20220712",2181.8065721922,59.83,35.15,"20230525"
"1_C_Sq3_20220701",2179.6888765158,60.106,35.18,"20230525"
"2_C_Sq3_20220701",2186.740649338,59.866,35.18,"20230525"
"1_M_Sq3_20220702",2182.93067444043,60.387,35.23,"20230525"
"2_M_Sq3_20220702",2182.95450418865,59.675,35.23,"20230525"
"1_BT_20230525",1112.31076588099,59.931,34.464,"20230525"
"2_BT_20230525",1112.34109976342,59.912,34.46,"20230525"
