SampleID,Weight,Salinity
Junk4,60.196,35
1_H_Sq2_20220629,59.975,35.43
2_H_Sq2_20220629,60.344,35.43
1_M_Sq1_20220706,59.814,35.26
2_M_Sq1_20220706,59.871,35.26
1_H_Sq3_20220629,60.356,35.62
2_H_Sq3_20220629,60.509,35.62
1_M_Sq3_20220708,59.979,35.26
2_M_Sq3_20220708,69.458,35.26
