"SampleID","TA","Mass","Salinity","Date"
"Junk5",2053.93738690674,60.327,35,"20230523"
"1_M_Sq1_20220705",2176.0936084129,60.463,34.82,"20230523"
"2_M_Sq1_20220705",2177.05976300198,60.26,34.82,"20230523"
"1_M_Sq3_20220710",2173.36115567988,60.262,35.3,"20230523"
"2_M_Sq3_20220710",2178.34321350875,60.011,35.3,"20230523"
"1_C_Sq2_20220628",2166.9247095852,60.126,35.19,"20230523"
"2_C_Sq2_20220628",2171.4456663119,59.788,35.19,"20230523"
"1_C_Sq1_20220710",2177.16562715739,59.834,35.22,"20230523"
"2_C_Sq1_20220710",2184.41597824057,60.24,35.22,"20230523"
