"SampleID","TA","Mass","Salinity","Date"
"Junk4",2057.75468191633,60.2,35,"20230523"
"1_H_Sq3_20220716",2200.78753100523,59.997,34.72,"20230523"
"2_H_Sq3_20220716",2202.66235579527,60.035,34.72,"20230523"
"1_M_Sq3_20220701",2178.77610480673,60.098,35.02,"20230523"
"2_M_Sq3_20220701",2187.59366372444,59.633,35.02,"20230523"
"1_H_Sq2_20220710",2180.69654807607,59.905,34.52,"20230523"
"2_H_Sq2_20220710",2185.6622507684,60.186,34.52,"20230523"
"1_H_Sq2_20220706",2184.97072345155,60.103,34.84,"20230523"
"2_H_Sq2_20220706",2184.76205464651,60.33,34.84,"20230523"
