SampleID,Weight,Salinity
Junk2,60.27,35
1_C_Sq1_20220708,60.286,35.03
2_C_Sq1_20220708,60.029,35.03
1_M_Sq2_20220629,59.584,35.43
2_M_Sq2_20220629,60.042,35.43
1_C_Sq3_20220702,60.203,35.51
2_C_Sq3_20220702,60.393,35.51
1_H_Sq3_20220716,60.251,35.41
2_H_Sq3_20220716,60.176,35.41
