"SampleID","TA","Mass","Salinity","Date"
"Junk2",2066.05592513876,60.045,35,"20230522"
"1_H_Sq1_20220701",2188.890210615,60.094,34.8,"20230522"
"2_H_Sq1_20220701",2186.51284168555,60.216,34.8,"20230522"
"1_C_Sq2_20220629",2168.07262574687,59.684,35.44,"20230522"
"2_C_Sq2_20220629",2163.50922926887,59.843,35.44,"20230522"
"1_M_Sq1_20220716",2176.15219614561,60.106,35.03,"20230522"
"2_M_Sq1_20220716",2179.82276999543,60.177,35.03,"20230522"
"1_H_Sq3_20220630",2186.41969036331,59.961,35.46,"20230522"
"2_H_Sq3_20220630",2185.49452847155,59.889,35.46,"20230522"
