SampleID,Weight,Salinity
Junk4,60.025,35
1_M_Sq1_20220714,60.28,34.32
2_M_Sq1_20220714,59.917,34.32
1_H_Sq1_20220628,59.912,34.83
2_H_Sq1_20220628,59.867,34.83
1_C_Sq1_20220714,60.026,35.08
2_C_Sq1_20220714,60,35.08
1_C_Sq1_20220629,59.925,35.24
2_C_Sq1_20220629,60.16,35.24
