"SampleID","TA","Mass","Salinity","Date"
"Junk3",2060.63542299411,60.367,35,"20230522"
"1_C_Sq2_20220705",2188.1300626331,60.197,35.02,"20230522"
"2_C_Sq2_20220705",2188.18377130661,59.718,35.02,"20230522"
"1_H_Sq1_20220705",2179.09413255765,60.292,35.4,"20230522"
"2_H_Sq1_20220705",2175.91957177004,60.264,35.4,"20230522"
"1_H_Sq2_20220714",2178.94412405782,59.782,35.35,"20230522"
"2_H_Sq2_20220714",2182.73636365359,60.111,35.35,"20230522"
"1_M_Sq2_20220701",2197.92152021653,60.121,35.32,"20230522"
"2_M_Sq2_20220701",2202.18458444768,60.145,35.32,"20230522"
