SampleID,Weight,Salinity
Junk3,60.367,35
1_C_Sq2_20220705,60.197,35.02
2_C_Sq2_20220705,59.718,35.02
1_H_Sq1_20220705,60.292,35.4
2_H_Sq1_20220705,60.264,35.4
1_H_Sq2_20220714,59.782,35.35
2_H_Sq2_20220714,60.111,35.35
1_M_Sq2_20220701,60.121,35.32
2_M_Sq2_20220701,60.145,35.32
