"SampleID","TA","Mass","Salinity","Date"
"Junk4",2059.16235393983,60.025,35,"20230522"
"1_M_Sq1_20220714",2179.11470872827,60.28,34.32,"20230522"
"2_M_Sq1_20220714",2179.85956707386,59.917,34.32,"20230522"
"1_H_Sq1_20220628",2177.85074941064,59.912,34.83,"20230522"
"2_H_Sq1_20220628",2178.26905572163,59.867,34.83,"20230522"
"1_C_Sq1_20220714",2183.3826671635,60.026,35.08,"20230522"
"2_C_Sq1_20220714",2186.30340434761,60,35.08,"20230522"
"1_C_Sq1_20220629",2156.68728158274,59.925,35.24,"20230522"
"2_C_Sq1_20220629",2168.0231454778,60.16,35.24,"20230522"
